,Real,Predicted
2017-04-30,152943.0,144350.23
2017-05-31,154367.0,144985.6
2017-06-30,155965.0,145660.33
2017-07-31,157144.0,146291.06
2017-08-31,158298.0,146838.81
2017-09-30,157651.0,147420.4
2017-10-31,157335.0,148025.48
2017-11-30,157513.0,148623.02
2017-12-31,159365.0,149102.8
2018-01-31,161478.0,149392.58
2018-02-28,163561.0,149542.48
2018-03-31,165989.0,149557.56
2018-04-30,168032.0,149827.8
2018-05-31,169803.0,150383.08
2018-06-30,171861.0,151197.0
2018-07-31,174398.0,152005.97
2018-08-31,176540.0,152773.4
2018-09-30,178825.0,153505.58
2018-10-31,180417.0,154151.27
2018-11-30,182903.0,154767.84
2018-12-31,184683.0,155402.69
2019-01-31,186561.0,156022.23
2019-02-28,187753.0,156561.94
2019-03-31,188597.0,157062.19
2019-04-30,188965.0,157499.28
2019-05-31,189124.0,157941.83
2019-06-30,188814.0,158275.34
2019-07-31,188650.0,158543.88
2019-08-31,188493.0,158705.66
2019-09-30,189063.0,158795.64
2019-10-31,189910.0,158822.83
2019-11-30,189738.0,158817.31
2019-12-31,188982.0,158792.48
2020-01-31,187804.0,158799.11
2020-02-29,187128.0,158833.81
