,Real,Predicted Rent
2017-08,1104.0,1087.1361
2017-09,1100.0,1087.5707
2017-10,1099.0,1088.0159
2017-11,1086.0,1088.4508
2017-12,1099.0,1088.8224
2018-01,1128.0,1089.1207
2018-02,1130.0,1089.3745
2018-03,1168.0,1089.6527
2018-04,1185.0,1089.9521
2018-05,1199.0,1090.2335
2018-06,1205.0,1090.4641
2018-07,1205.0,1090.6558
2018-08,1202.0,1090.8517
2018-09,1210.0,1091.0635
2018-10,1220.0,1091.2886
2018-11,1225.0,1091.5018
2018-12,1228.0,1091.7123
2019-01,1225.0,1091.9182
2019-02,1275.0,1092.1211
2019-03,1325.0,1092.3181
2019-04,1278.0,1092.5116
2019-05,1319.0,1092.7234
2019-06,1350.0,1092.9695
2019-07,1350.0,1093.2423
2019-08,1349.0,1093.4945
2019-09,1350.0,1093.7158
2019-10,1350.0,1093.9
2019-11,1345.0,1094.097
2019-12,1345.0,1094.2782
