,Real,Predicted
2017-04-30,130836.0,124268.16
2017-05-31,130997.0,125006.65
2017-06-30,131458.0,125897.83
2017-07-31,132020.0,126869.805
2017-08-31,133613.0,127760.84
2017-09-30,132903.0,128403.805
2017-10-31,130901.0,128803.34
2017-11-30,128794.0,128936.87
2017-12-31,128053.99999999999,128925.61
2018-01-31,127328.0,128737.69
2018-02-28,125933.0,128379.8
2018-03-31,125965.0,127774.27
2018-04-30,127179.0,127184.414
2018-05-31,129078.0,126789.92
2018-06-30,130049.0,126663.8
2018-07-31,130522.0,126711.93
2018-08-31,131293.0,126925.67
2018-09-30,133945.0,127348.75
2018-10-31,135927.0,127907.34
2018-11-30,136296.0,128525.32
2018-12-31,133902.0,129104.02
2019-01-31,131691.0,129586.086
2019-02-28,131337.0,129905.03
2019-03-31,131883.0,130022.55
2019-04-30,132775.0,129821.41
2019-05-31,133171.0,129444.09
2019-06-30,133858.0,129088.34
2019-07-31,134412.0,129026.55
2019-08-31,134725.0,129231.2
2019-09-30,133997.0,129514.13
2019-10-31,133937.0,129744.3
2019-11-30,134625.0,129879.44
2019-12-31,136533.0,129986.75
2020-01-31,137935.0,130107.61
2020-02-29,137742.0,130293.17
