,Real,Predicted
2017-04-30,220442.99999999997,215636.75
2017-05-31,221278.0,215861.28
2017-06-30,221685.0,216169.58
2017-07-31,221985.00000000003,216416.28
2017-08-31,222092.0,216573.45
2017-09-30,222181.0,216740.95
2017-10-31,222476.0,216926.52
2017-11-30,222853.0,217110.38
2017-12-31,223174.00000000003,217214.12
2018-01-31,223367.0,217290.48
2018-02-28,223859.0,217351.58
2018-03-31,224291.0,217432.81
2018-04-30,224835.99999999997,217545.77
2018-05-31,225774.0,217665.23
2018-06-30,226676.0,217784.14
2018-07-31,227410.0,217918.48
2018-08-31,227836.0,218100.25
2018-09-30,228669.0,218296.38
2018-10-31,229649.0,218527.61
2018-11-30,230337.0,218787.23
2018-12-31,230931.0,219018.03
2019-01-31,231544.0,219218.25
2019-02-28,232839.0,219409.2
2019-03-31,233783.0,219641.25
2019-04-30,234013.0,219864.27
2019-05-31,233563.0,220052.16
2019-06-30,233451.99999999997,220235.9
2019-07-31,233793.0,220429.08
2019-08-31,234391.0,220625.98
2019-09-30,234813.0,220723.0
2019-10-31,235069.0,220727.39
2019-11-30,235603.99999999997,220707.11
2019-12-31,236122.00000000003,220756.9
2020-01-31,236717.0,220860.48
2020-02-29,236815.0,220975.8
