,Real,Predicted
2017-06-30,390187.0,391114.12
2017-07-31,390170.0,391130.8
2017-08-31,390019.0,391150.72
2017-09-30,389909.0,391166.28
2017-10-31,390238.0,391194.66
2017-11-30,390638.0,391232.1
2017-12-31,390638.0,391283.6
2018-01-31,390197.0,391316.88
2018-02-28,390078.0,391330.4
2018-03-31,390002.0,391346.22
2018-04-30,390167.0,391369.44
2018-05-31,390993.0,391391.28
2018-06-30,391840.0,391396.97
2018-07-31,392429.0,391396.47
2018-08-31,392915.0,391398.12
2018-09-30,393711.0,391405.7
2018-10-31,394732.0,391418.12
2018-11-30,395248.0,391425.28
2018-12-31,396213.0,391426.34
2019-01-31,397360.0,391430.6
2019-02-28,399400.0,391451.25
2019-03-31,400688.0,391483.88
2019-04-30,400815.0,391532.16
2019-05-31,399976.0,391593.0
2019-06-30,399517.0,391652.16
2019-07-31,399859.0,391707.4
2019-08-31,400303.0,391764.2
2019-09-30,400679.0,391826.3
2019-10-31,400727.0,391888.44
2019-11-30,401211.0,391946.66
2019-12-31,401360.0,392010.0
2020-01-31,401643.0,392069.5
2020-02-29,401345.0,392117.94
