,Real,Predicted Rent
2017-09,1844.9999999999998,1713.4125
2017-10,1794.9999999999998,1716.4447
2017-11,1752.9999999999998,1719.655
2017-12,1786.0,1722.0043
2018-01,1798.9999999999998,1723.9258
2018-02,1779.5,1725.9222
2018-03,1850.0,1728.4146
2018-04,1798.9999999999998,1732.5594
2018-05,1810.0,1738.1771
2018-06,1850.0,1744.6985
2018-07,1850.0,1751.0325
2018-08,1850.0,1756.9159
2018-09,1884.9999999999998,1762.4829
2018-10,1828.0,1767.7288
2018-11,1864.9999999999998,1772.8728
2018-12,1844.9999999999998,1778.0638
2019-01,1826.0,1782.9788
2019-02,1810.0,1787.4608
2019-03,1824.9999999999998,1791.5664
2019-04,1830.0,1795.1237
2019-05,1850.0,1799.0046
2019-06,1850.0,1802.4712
2019-07,1810.0,1805.9083
2019-08,1816.0,1808.5184
2019-09,1789.5,1810.7463
2019-10,1758.9999999999998,1812.5863
2019-11,1730.9999999999998,1814.2307
2019-12,1702.5000000000002,1815.8569
