,Real,Predicted
2017-06-30,334744.0,318293.34
2017-07-31,336838.0,319368.1
2017-08-31,338863.0,320425.62
2017-09-30,339893.0,321427.8
2017-10-31,341741.0,322445.28
2017-11-30,343384.0,323471.2
2017-12-31,345558.0,324515.34
2018-01-31,347058.0,325521.22
2018-02-28,348727.0,326505.1
2018-03-31,350117.0,327467.2
2018-04-30,350612.0,328370.88
2018-05-31,350367.0,329177.8
2018-06-30,350297.0,329889.78
2018-07-31,350428.0,330506.03
2018-08-31,350389.0,331049.0
2018-09-30,351688.0,331518.88
2018-10-31,351732.0,331964.1
2018-11-30,353045.0,332344.47
2018-12-31,353010.0,332670.88
2019-01-31,354600.0,332918.75
2019-02-28,355036.0,333121.16
2019-03-31,355396.0,333272.28
2019-04-30,355554.0,333384.62
2019-05-31,356009.0,333496.7
2019-06-30,356274.0,333640.56
2019-07-31,356882.0,333808.12
2019-08-31,357402.0,333990.62
2019-09-30,357570.0,334194.8
2019-10-31,358228.0,334363.12
2019-11-30,358043.0,334547.5
2019-12-31,358377.0,334693.4
2020-01-31,357818.0,334853.72
2020-02-29,358051.0,334958.97
