,Real,Predicted
2017-04-30,193461.0,192736.7
2017-05-31,195051.0,192945.19
2017-06-30,196270.0,193141.9
2017-07-31,197628.0,193392.12
2017-08-31,199340.0,193908.2
2017-09-30,200212.0,194611.39
2017-10-31,200256.0,195359.12
2017-11-30,200491.0,196065.45
2017-12-31,201747.0,196663.7
2018-01-31,204573.0,197213.23
2018-02-28,207553.99999999997,197690.56
2018-03-31,210111.99999999997,198029.06
2018-04-30,211571.00000000003,198403.4
2018-05-31,211991.0,199016.88
2018-06-30,212699.0,199889.16
2018-07-31,213545.99999999997,200868.22
2018-08-31,214697.99999999997,201672.03
2018-09-30,215153.0,202233.19
2018-10-31,215347.00000000003,202562.02
2018-11-30,215906.0,202780.17
2018-12-31,216057.00000000003,203034.27
2019-01-31,217022.0,203283.6
2019-02-28,217039.00000000003,203503.0
2019-03-31,217901.00000000003,203627.42
2019-04-30,218764.0,203742.62
2019-05-31,220204.0,203893.97
2019-06-30,221771.99999999997,204041.19
2019-07-31,223047.00000000003,204260.0
2019-08-31,224033.0,204449.28
2019-09-30,226064.0,204757.55
2019-10-31,228681.0,205099.44
2019-11-30,230976.00000000003,205499.12
2019-12-31,233216.0,205899.52
2020-01-31,234158.00000000003,206290.92
2020-02-29,235772.0,206717.25
