,Real,Predicted Rent
2017-12,1590.0,1546.7462
2018-01,1550.0,1547.6769
2018-02,1550.0,1548.5302
2018-03,1550.0,1549.7174
2018-04,1595.0,1550.6857
2018-05,1600.0,1551.7545
2018-06,1650.0,1553.2949
2018-07,1650.0,1554.9692
2018-08,1650.0,1556.3904
2018-09,1600.0,1557.6453
2018-10,1600.0,1559.1459
2018-11,1595.0,1560.9558
2018-12,1600.0,1562.4622
2019-01,1586.0,1563.8671
2019-02,1595.0,1565.2107
2019-03,1595.0,1567.3291
2019-04,1600.0,1569.0684
2019-05,1600.0,1569.9193
2019-06,1650.0,1569.8611
2019-07,1647.0,1570.0259
2019-08,1625.0,1570.8597
2019-09,1625.0,1571.8978
2019-10,1600.0,1572.9916
2019-11,1599.0,1573.7922
2019-12,1595.0,1574.8694
