,Real,Predicted
2017-03-31,228304.0,217825.52
2017-04-30,229368.0,218775.69
2017-05-31,229678.99999999997,219961.92
2017-06-30,229635.0,220902.8
2017-07-31,230043.00000000003,221362.61
2017-08-31,230839.0,221488.58
2017-09-30,231834.0,221556.47
2017-10-31,232902.0,221856.0
2017-11-30,234027.0,222321.7
2017-12-31,235156.0,222856.11
2018-01-31,235332.0,223405.5
2018-02-28,235043.0,223932.55
2018-03-31,234814.0,224321.97
2018-04-30,235848.0,224340.44
2018-05-31,237005.0,224242.72
2018-06-30,238265.0,224315.86
2018-07-31,239163.0,224811.14
2018-08-31,240094.0,225331.17
2018-09-30,240852.0,225827.39
2018-10-31,241032.0,226201.42
2018-11-30,241528.0,226547.84
2018-12-31,241671.0,226789.2
2019-01-31,243133.0,226888.38
2019-02-28,244135.0,227064.92
2019-03-31,245683.0,227251.97
2019-04-30,245905.0,227755.39
2019-05-31,246544.00000000003,228146.44
2019-06-30,246865.0,228564.19
2019-07-31,247512.0,228672.89
2019-08-31,248051.0,228862.69
2019-09-30,248583.0,228995.77
2019-10-31,249442.0,229196.62
2019-11-30,250020.0,229372.58
2019-12-31,250746.99999999997,229563.19
2020-01-31,250791.0,229807.25
2020-02-29,251210.0,229985.48
