,Real,Predicted Rent
2017-08,1820.9999999999998,1715.2847
2017-09,1844.9999999999998,1718.5122
2017-10,1794.9999999999998,1720.9819
2017-11,1752.9999999999998,1722.5404
2017-12,1786.0,1722.6237
2018-01,1798.9999999999998,1724.255
2018-02,1779.5,1728.1733
2018-03,1850.0,1734.5353
2018-04,1798.9999999999998,1741.1857
2018-05,1810.0,1747.3767
2018-06,1850.0,1753.2509
2018-07,1850.0,1758.2937
2018-08,1850.0,1763.0054
2018-09,1884.9999999999998,1768.2861
2018-10,1828.0,1773.7081
2018-11,1864.9999999999998,1778.8263
2018-12,1844.9999999999998,1783.5364
2019-01,1826.0,1786.5221
2019-02,1810.0,1790.7135
2019-03,1824.9999999999998,1794.1604
2019-04,1830.0,1798.7028
2019-05,1850.0,1801.8506
2019-06,1850.0,1804.6808
2019-07,1810.0,1806.9377
2019-08,1816.0,1808.7345
2019-09,1789.5,1810.2096
2019-10,1758.9999999999998,1811.79
2019-11,1730.9999999999998,1813.3514
2019-12,1702.5000000000002,1815.5897
