,Real,Predicted
2017-03-31,92070.0,89057.28
2017-04-30,93347.99999999999,91107.516
2017-05-31,94177.0,92452.54
2017-06-30,96041.0,93329.57
2017-07-31,97961.0,95314.57
2017-08-31,101225.0,97377.78
2017-09-30,105035.0,100927.74
2017-10-31,108471.99999999999,105137.5
2017-11-30,110607.0,108994.086
2017-12-31,112277.0,111416.97
2018-01-31,113201.00000000001,113326.31
2018-02-28,113805.0,114387.984
2018-03-31,115032.0,115083.96
2018-04-30,117332.0,116502.59
2018-05-31,121101.0,119178.79
2018-06-30,123042.00000000001,123610.445
2018-07-31,125666.00000000001,125914.18
2018-08-31,126905.0,129050.7
2018-09-30,127756.0,130540.266
2018-10-31,127508.99999999999,131566.45
2018-11-30,128796.00000000001,131268.34
2018-12-31,129868.0,132823.88
2019-01-31,131540.0,134123.78
2019-02-28,133202.0,136158.66
2019-03-31,135765.0,138190.1
2019-04-30,136929.0,141339.03
2019-05-31,136798.0,142775.4
2019-06-30,137007.0,142613.56
2019-07-31,137250.0,142871.78
2019-08-31,137631.0,143172.17
2019-09-30,138154.0,143643.45
2019-10-31,139561.0,144291.03
2019-11-30,140426.0,146036.81
2019-12-31,141465.0,147112.6
2020-01-31,142242.0,148407.27
2020-02-29,143074.0,149377.17
