,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1235,1250,1250,1299.5,1350,1395,1400,1400,1420,1400,1411,1400,1425,1425,1445,1467,1500,1500,1550,1510,1500,1500,1500,1500,1500,1500,1513.5,1550,1525,1495,1489.5,1450,1475,1450,1400,1437,1400,1450,1495,1495,1500,1500,1500,1500,1500,1500,1495,1480,1480,1475,1475,1500,1500,1550,1559.5,1575,1550,1545,1500,1500,1500,1500,1500,1500,1544,1550,1550,1550,1550,1550,1500,1500,1500
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,1200,1195,1197,1137.5,1200,1095,1100,1125,1150,1175,1195,1200,1200,1153.5,1100,1100,1100,1150,1150,1150,1050,1050,1100,1125,1100,1095,1080,1095,1050,886,900,890,915,910,999,939,950,1000,1095,1075,1075,1075,1082,1100,1106,1100,1145,1157,1150,1125,1119,1100,1100,1100,1100,1125,1100,1133,1150,1145,1125,1100,1117,1125,1125,1145,1148.5,1115,1095,1082,1075,1095,1095,1065,1065,1095.5,1030,1165,1195,1200,1200,1227.5,1295,1275,1251,1250,1250,1245,1225,1250,1250,1250,1273,1295,1300,1300,1300,1289,1285,1295,1295,1295,1295,1300,1300,1325,1345,1349,1322.5,1299,1300,1299,1300
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1080,1000,1131.5,1134.5,1200,1195,1100,1124,1200,1190,1200,1250,1295,1235,1250,1250,1230,1300,1250,1250,1230,1250,1300,1300,1350,1349.5,1300,1300,1300,1300,1300,1325,1378,1400,1400,1400,1495,1495,1400,1400,1400,1400,1448,1475,1500,1495,1495,1471,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1700,1650,1650,1679,1600,1600,1600,1600,1600,1600,1650,1650,1650,1690,1650,1600,1600,1650,1650,1672.5,1650,1695,1750,1800,1795,1800,1795,1795,1750,1750,1700
10,Austin,TX,Austin-Round Rock,Travis County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,990,1045,1090,1250,1125,1190,1250,1340,1350,1300,1296,1308.5,1395,1425,1390,1395,1437,1425,1400,1395,1350,1345,1350,1350,1350,1400,1450,1500,1525,1519,1525,1529,1550,1500,1500,1525,1500,1400,1350,1450,1450,1430,1389,1340,1350,1350,1500,1550,1600,1650,1650,1695,1695,1650,1650,1645,1600,1599,1600,1630,1650,1675,1695,1700,1700,1700,1695,1695,1675,1675,1695,1695,1700,1730,1750,1775,1795,1775,1750,1775,1770,1750
16,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1200,1225,1250,1200,1197,1200,1200,1200,1195,1195,1225,1200,1195,1195,1195,1200,1250,1280,1290,1250,1295,1290,1250,1295,1275,1265,1275,1289,1325,1350,1350,1350,1350,1300,1345,1350,1350,1350,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1400,1425,1449.5,1445,1425,1450,1450,1425,1425,1400,1400,1450,1450,1495,1500,1525,1550,1550,1550,1550,1525,1500,1500,1500,1525,1550,1595,1595,1595,1600,1600,1595,1575,1577.5,1595,1595,1595,1595,1600,1650,1650,1650,1650,1640,1600,1615,1600
21,El Paso,TX,El Paso,El Paso County,22,,,,,,,,,,,,,,,,1300,1250,1200,1200,1195,1200,1200,1175,1200,1200,1200,1200,1200,1195,1200,1195,1150,1100,1100,1095,1050,1025,1025,1050,1095,1095,1100,1100,1100,1100,1100,1065,1100,1095,1095,1090,1095,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1100,1100,1100,1150,1125,1100,1095,1095,1075,1082.5,1095,1099,1100,1100,1150,1150,1125,1100,1100,1095,1075,1075,1075,1050,1100,1100,1100,1150,1150,1125,1100,1100,1100,1100,1100,1100,1100,1150,1150,1200,1200,1170,1150,1100,1125,1175
51,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,52,,,,,,,,,,,1199.5,1200,1200,1225,1200,1200,1200,1200,1200,1150,1100,1100,1072.5,1095,1095,1135,1147.5,1095,1095,1150,1095,1100,1100,1097.5,1150,1195,1100,1100,1095,1095,1100,1225,1200,1197,1225,1212.5,1200,1200,1200,1200,1200,1200,1295,1295,1275,1250,1250,1275,1295,1295,1300,1325,1350,1350,1325,1345,1350,1390,1350,1350,1325,1360,1350,1350,1395,1375,1350,1350,1395,1375,1395,1400,1395,1395,1449,1450,1450,1477.5,1495,1500,1500,1495,1500,1500,1495,1495,1500,1495,1500,1522.5,1525,1550,1550,1550,1550,1549,1525,1550,1550,1575,1592,1600,1600,1612.5,1600,1600,1645,1600,1600,1600
66,Corpus Christi,TX,Corpus Christi,Nueces County,67,,,,,,,,,,,,,,,,,,,,1350,1300,1250,1199.5,1200,1200,1200,1200,1300,1200,1295,1295,1272.5,1300,1300,1337.5,1200,1250,1300,1362.5,1325,1350,1350,1400,1412.5,1450,1500,1512.5,1550,1595,1550,1550,1550,1500,1600,1550,1500,1500,1550,1550,1500,1500,1550,1595,1600,1600,1600,1530,1575,1500,1500,1475,1475,1500,1450,1500,1600,1595,1575,1600,1595,1500,1550,1437.5,1400,1495,1500,1495,1495,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1500,1595,1550,1550,1550,1500,1495,1450,1495,1495,1550,1550,1590,1550,1595,1600,1600,1500,1495,1500,1500
79,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,80,,,,,,,,,1672.5,1900,1685,1550,1595,1595,1595,1600,1625,1600,1600,1650,1650,1612.5,1550,1550,1595,1600,1595,1462.5,1595,1600,1625,1595,1600,1625,1650,1600,1595,1595,1595,1595,1650,1695,1692.5,1650,1600,1650,1650,1695,1695,1695,1700,1699,1750,1800,1800,1850,1800,1795,1795,1795,1795,1800,1800,1850,1850,1850,1895,1850,1849.5,1850,1800,1800,1850,1850,1850,1850,1895,1950,1900,1875,1875,1895,1895,1895,1895,1850,1850,1900,1950,1995,1995,1950,1950,1900,1895,1895,1900,1900,1950,1950,1990,1995,1995,2000,1995,1995,1995,1950,1950,1950,1950,2000,2050,2050,2023,2000,1995,1995,2000,2000
87,Lubbock,TX,Lubbock,Lubbock County,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,1050,1000,1050,995,995,900,950,995,995,1000,1000,1000,995,995,997.5,1100,1100,1100,1085,1000,1000,1125,1200,1200,1195,1200,1199,1150,1100,1100,1100,1100,1050,1075,1100,1195,1100,1100,1150,1100,1097.5,1050,1050,1050,1150,1195,1200,1200,1200,1200,1200,1125,1100,1100,1100,1095,1100,1175,1200,1200,1200,1200,1150,1100,1100,1125,1100,1137.5,1150,1200,1200,1200,1200,1200,1195,1100,1100,1150,1195,1195
105,Laredo,TX,Laredo,Webb County,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1350,1300,1300,1300,1275,1250,1300,1300,1300,1250,1250,1300,1300,1340,1262.5,1230,1300,1272.5,1300,1300,1300,1300,1300,1300,1300,1325,1325,1300,1300,1300,1300
109,Garland,TX,Dallas-Fort Worth-Arlington,Dallas County,110,,,,,,,,,,,,,,,,,,,1095,1092.5,1050,1050,1000,1050,1050,1070,1050,1072.5,1095,1100,1050,1100,1095,1095,1095,1095,1095,1100,1000,995,1000,1150,1157.5,1150,1150,1195,1195,1195,1175,1150,1175,1175,1225,1200,1212.5,1250,1250,1250,1250,1250,1272.5,1295,1295,1250,1250,1295,1295,1300,1300,1297.5,1287.5,1295,1250,1292.5,1325,1300,1350,1312.5,1385,1312.5,1350,1450,1350,1375,1400,1400,1400,1400,1450,1450,1497.5,1450,1475,1450,1450,1480,1450,1400,1450,1475,1495,1500,1500,1500,1500,1495,1495,1495,1475,1492.5,1495,1495,1500,1550,1550,1503,1500,1540,1550,1500
110,Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,111,,,,,,,,,,1475,1475,1500,1425,1400,1400,1400,1297.5,1450,1450,1400,1350,1300,1375,1350,1337.5,1350,1350,1375,1350,1395,1412.5,1350,1275,1200,1275,1275,1262.5,1200,1350,1325,1350,1450,1450,1450,1400,1425,1450,1450,1400,1400,1400,1450,1500,1550,1500,1500,1500,1500,1525,1525,1525,1525,1550,1575,1595,1595,1575,1575,1550,1525,1525,1500,1500,1500,1550,1599,1560,1595,1550,1550,1500,1519,1500,1500,1500,1500,1550,1550,1550,1550,1550,1550,1550,1527.5,1550,1550,1525,1550,1575,1600,1600,1600,1600,1600,1595,1550,1550,1550,1550,1550,1600,1600,1625,1650,1600,1603.5,1636.5,1600,1599,1595
116,Irving,TX,Dallas-Fort Worth-Arlington,Dallas County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1572.5,1595,1600,1500,1600,1625,1625,1600,1750,1650,1750,1850,1799.5,1750,1600,1600,1695,1600,1647.5,1772.5,1772.5,1772.5,1795,1700,1700,1650,1700,1625,1700,1600,1595,1800,1795,1900,2000,2095,2100,2100,2050,1950,1900,1995,1900,1895,1875,1900,1850,1875,1850,1800,1800,1800,1750,1800,1800,1795,1737.5,1847.5,2000,1990,2000,1950,1895,1800,1850,1892
145,Amarillo,TX,Amarillo,Potter County,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1250,1200,1295,1272.5,1250,1350,1350,1150,1197.5,1200,1200,1300,1295,1300,1312.5,1400,1495,1360,1350,1225,1295,1250,1200,1195,1250,1175,1195,1275,1295,1282.5,1250,1250,1195,1200,1200,1200,1195,1150,1175,1200,1250,1250,1195,1200,1250,1250,1150,1100,1000,1095,1100,1100,1112.5,1200,1200,1200,1217.5,1200,1250,1195,1195,1200
153,Brownsville,TX,Brownsville-Harlingen,Cameron County,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1025,987.5,1100,1050,1100,1100,1100,1100,1100,1200,1150,1100,1150,1150,1200,1200,1200,1100,1100,1100,1200,1200,1100,1100,1100,1150,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1150,1200,1250
161,Grand Prairie,TX,Dallas-Fort Worth-Arlington,Dallas County,162,,,,,,,,,,,,,,,,,,,,1305.5,1297,1300,1295,1250,1295,1385,1395,1250,1300,1300,1195,1100,1200,1195,1295,1250,1125,1200,1200,1225,1200,1297.5,1297.5,1213,1275,1295,1275,1350,1300,1350,1300,1325,1395,1350,1350,1395,1375,1337,1350,1397.5,1375,1395,1450,1485,1450,1450,1450,1400,1385,1495,1397.5,1397.5,1450,1395,1450,1404,1395,1450,1500,1500,1495,1450,1525,1522.5,1505,1500,1539,1550,1595,1600,1647.5,1595,1590,1595,1595,1572.5,1550,1582.5,1600,1673,1662.5,1650,1700,1650,1649.5,1647.5,1625,1595,1595,1595,1600,1650,1700,1710,1699,1700,1699,1695,1695,1695
178,Killeen,TX,Killeen-Temple,Bell County,179,,,,,,,,,,,,,1000,950,985,1000,1000,975,895,875,875,895,875,850,875,875,900,925,950,950,975,950,995,950,925,950,950,925,950,950,950,950,950,950,950,950,950,950,947.5,950,939.5,940,975,995,975,975,965,975,960,950,975,950,975,995,975,975,960,950,950,950,950,950,950,950,950,950,990,975,995,980,950,950,975,950,975,975,950,995,995,995,995,995,975,950,950,950,950,950,950,975,990,995,995,950,950,950,975,995,975,965,995,1050,1055,1075,1050,1045,1012.5,1000,1000,1000
187,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1700,1700,1800,1800,1800,1800,1800,1800,1800,1880,1950,2000,1950,1895,1850,1845,1850,1900,1950,1990,2100,2000,1995,1997.5,2000,2000,1900,1950,1950,1975,1980,1999.5,2000,1995,2000,1900,1950,1962.5,1800,1862.5,1800,1800,1800,1825,1850,1875,1875,1877.5,1850,1875,1900,1900,1900,1850,1900,1950,1900,1850,1850,1850,1850,1850,1825,1800,1795,1795,1795,1795,1800,1900,1875,1875,1900,1900,1895,1900,1850
192,McKinney,TX,Dallas-Fort Worth-Arlington,Collin County,193,,,,,,,,,,,1575,1532.5,1400,1400,1450,1450,1500,1500,1500,1500,1550,1495,1495,1495,1500,1500,1500,1500,1550,1550,1595,1550,1550,1500,1550,1595,1550,1547.5,1550,1550,1575,1600,1625,1600,1622.5,1650,1600,1597.5,1595,1600,1600,1610,1650,1675,1695,1650,1650,1650,1650,1650,1695,1695,1700,1700,1725,1700,1750,1750,1750,1747.5,1725,1750,1750,1750,1750,1750,1795,1750,1790,1800,1792.5,1800,1799,1700,1750,1800,1850,1847.5,1850,1850,1845,1800,1800,1795,1795,1795,1795,1800,1849,1875,1850,1850,1850,1850,1825,1850,1895,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1895,1850
199,Odessa,TX,Odessa,Ector County,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2000,2000,2050,2300,2300,2100,2200,2500,2300,2300,2100,2200,2200,2000,2000,2100,2000
202,Midland,TX,Midland,Midland County,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2500,2700,2500,2700,2800,2600,2500,2600,2500,2500,2500,2800,2675,2500,2500,2500,2500
206,Tyler,TX,Tyler,Smith County,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,1250,1150,1050,1150,1050,1112.5,1100,1125,1150,1175,1157.5,1195,1135,1172.5,1200,1200,1250,1200,1150,1195,1200,1250,1200,1257.5,1250,1250,1295,1250,1250,1295,1295,1300,1300,1300,1300,1325,1295,1250,1295,1250,1295
209,Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,210,,,,,,,,,,,,,,1375,1350,1350,1350,1295,1250,1175,1250,1250,1400,1400,1375,1450,1450,1450,1450,1500,1512.5,1500,1462.5,1400,1337.5,1450,1473,1350,1550,1500,1500,1597,1495,1577.5,1507.5,1500,1500,1500,1395,1400,1425,1575,1650,1650,1600,1600,1695,1700,1697,1650,1650,1700,1672,1700,1700,1700,1795,1750,1750,1700,1700,1700,1700,1700,1750,1750,1699,1750,1730,1700,1700,1695,1735,1675,1650,1695,1692.5,1700,1700,1700,1700,1700,1695,1650,1680,1700,1700,1722.5,1750,1750,1750,1785,1750,1700,1700,1700,1700,1700,1700,1700,1750,1762.5,1795,1750,1750,1722.5,1750,1750,1725,1700
210,Round Rock,TX,Austin-Round Rock,Williamson County,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,1065.5,1145,1200,1350,1295,1250,1325,1350,1395,1395,1350,1395,1400,1425,1395,1397,1400,1425,1425,1400,1400,1418,1442.5,1427,1495,1475,1500,1495,1495,1500,1545,1500,1495,1495,1495,1450,1450,1450,1497,1525,1495,1495,1425,1450,1450,1411,1495,1550,1595,1600,1650,1642.5,1597,1595,1595,1550,1590,1550,1587.5,1595,1595,1600,1650,1675,1675,1645,1625,1600,1595,1600,1625,1625,1641,1650,1650,1675,1675,1650,1645,1650,1650,1650
216,Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1539.5,1595,1597,1500,1519,1495,1500,1600,1600,1600,1550,1575,1575,1597.5,1600,1612.5,1600,1597.5,1575,1562.5,1595,1500,1595,1550,1650,1525,1595,1600,1650,1600,1600,1500,1550,1495,1459.5,1525,1550,1577.5,1600,1600,1595,1550,1550,1600,1600,1600,1650,1662.5,1600,1645,1650,1600,1595,1550,1595,1577.5,1600,1615,1650,1612.5,1685,1700,1700,1699,1650,1645,1600,1600
221,Pasadena,TX,Houston-The Woodlands-Sugar Land,Harris County,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1500,1300,1200,1250,1200,1300,1300,1250,1350,1362.5,1395,1350,1300,1275,1272.5,1300,1337.5,1300,1350,1300,1400,1350,1350,1350,1350,1350,1325,1350,1350,1385,1362.5,1400,1450,1350,1350,1335,1375,1350,1362.5,1325,1350
222,Beaumont,TX,Beaumont-Port Arthur,Jefferson County,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1095,1200,1150,1200,1162.5,1162.5,1200,1200,1250,1250,1100,1200,1250,1250,1200,1200,1257.5,1204.5,1200,1150,1100,1100,1100,1100,1200,1175,1200,1200,1250,1200,1197,1200,1195
224,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,225,,,,,,,,,,,,,,1800,1700,1800,1850,1812.5,1837.5,1850,1800,1850,1700,1800,1850,1850,1795,1800,1900,1785,1750,1700,1697.5,1750,1750,1700,1700,1695,1700,1697.5,1695,1750,1800,1800,1800,1825,1890,1850,1900,1850,1845,1850,1912.5,1950,1895,1950,1995,1912.5,1950,1895,1895,1950,1995,2000,2050,2100,2000,2100,2000,1995,2000,2050,2000,2000,2000,2000,2100,2000,2100,2000,2000,2062.5,2195,2000,2000,2000,2050,2100,2150,2150,2195,2100,2100,2100,2100,2100,2187.5,2150,2155,2150,2100,2180,2195,2250,2232.5,2250,2207.5,2272.5,2295,2250,2200,2200,2200,2200,2250,2200,2200,2195,2195,2282.5
232,Mesquite,TX,Dallas-Fort Worth-Arlington,Dallas County,233,,,,,,,,,,,,,,1095,1100,1100,1050,1095,1095,1095,1100,1095,1050,1095,1050,1095,1100,1012.5,999,1100,1100,1095,1050,1025.5,1025,1050,1050,1050,1097.5,1095,1075,1100,1097.5,1095,1100,1150,1150,1190,1150,1150,1145,1150,1150,1172.5,1195,1195,1195,1195,1195,1195,1200,1175,1195,1225,1200,1200,1195,1195,1197,1195,1150,1190,1200,1200,1250,1250,1200,1200,1250,1299.5,1250,1250,1285,1250,1350,1350,1350,1375,1350,1395,1385,1395,1400,1400,1430,1412.5,1400,1445,1445,1425,1450,1485,1495,1475,1475,1460,1475,1475,1475,1470,1475,1475,1497.5,1500,1495,1475,1500,1499,1495,1495
239,McAllen,TX,McAllen-Edinburg-Mission,Hidalgo County,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1500,1350,1300,1250,1300,1300,1300,1300,1300,1362.5,1350,1350,1397,1300,1300,1300,1300,1200,1325,1300,1200,1300,1350,1250,1300,1175,1200,1250,1300,1300,1300,1275,1250,1250,1200,1250,1250,1200,1300,1300,1362.5,1300,1362.5,1300,1300,1262.5,1300,1285,1300,1300,1250,1300,1250,1300,1250,1300,1300,1300,1350,1350
250,Abilene,TX,Abilene,Taylor County,251,,,,,,,,,,,,,,,,,,,,,,,,799,795,775,862.5,895,785,895,950,799.5,795,762.5,750,737.5,750,812.5,750,850,895,850,831.5,850,800,850,797.5,800,850,850,850,850,870,925,937.5,925,950,915,950,895,900,895,975,950,950,1000,1025,995,985,995,975,995,995,1000,1095,1095,995,995,997.5,927,1077.5,995,995,995,1077.5,1050,925,1000,1050,1050,1000,975,950,899.5,925,975,985,995,1050,995,1097.5,1125,1100,1095,1095,1050,1000,950,945,962.5,999,1095,1195,1195,1210,1175,1100,1100,1050,1095
258,Carrollton,TX,Dallas-Fort Worth-Arlington,Denton County,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1395,1450,1439,1400,1495,1400,1399.5,1412.5,1391.5,1395,1350,1450,1449,1400,1450,1599,1595,1595,1557.5,1500,1500,1500,1650,1600,1612.5,1650,1650,1650,1650,1650,1675,1695,1700,1697.5,1700,1695,1650,1695,1667.5,1650,1650,1650,1750,1697.5,1722.5,1695,1700,1695,1795,1800,1750,1750,1795,1795,1700,1700,1750,1795,1895,1895,1850,1800,1847.5,1797.5,1790,1725,1789,1800,1800,1850,1850,1875,1875,1850,1850,1880,1850,1812.5,1850,1850,1850,1878.5,1870,1900,1905,1850,1895,1925,1850,1850
265,Waco,TX,Waco,McLennan County,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,997.5,937.5,995,1097.5,1100,1050,1095,1062.5,1050,995,1100,1100,1237.5,1162.5,1197.5,1230,1395,1300,1295,1295,1100,1185,1197.5,1200,1125,1112.5,1100,1150,1200,1200,1200,1160,1100,1075,1000,1100,1150
268,Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1700,1700,1700,1700,1800,1850,1850,1900,1900,1937,1900,1859,1900,1882,1950,1950,1900,1950,1950,1962.5,2000,1900,1900,1900,1862.5,1895,1950,1995,1995,1950,1950,1950,1950,1850,1897.5,1900,1900,1895,1895,1895,1892.5,1895,1895,1850,1895,1900,1850,1860,1850,1850,1850,1900,1900,1900,1900,1895,1875,1850,1850,1895,1895,1875,1850,1850,1895,1900,1900,1895,1850,1895,1850,1850
269,Denton,TX,Dallas-Fort Worth-Arlington,Denton County,270,,,,,,,,,,,,,,1200,1250,1250,1250,1250,1300,1300,1295,1272.5,1250,1250,1295,1295,1250,1232.5,1250,1250,1300,1300,1297,1287.5,1250,1250,1250,1150,1225,1200,1225,1275,1350,1295,1325,1325,1350,1359.5,1362.5,1350,1375,1375,1350,1350,1395,1397.5,1350,1450,1450,1450,1450,1450,1475,1475,1395,1400,1450,1450,1475,1450,1439,1450,1495,1500,1495,1495,1485,1450,1500,1495,1450,1400,1450,1450,1500,1500,1550,1550,1550,1550,1550,1545,1517.5,1500,1500,1525,1545,1550,1595,1595,1600,1600,1650,1600,1599,1585,1572.5,1595,1599,1600,1600,1650,1650,1650,1672.5,1650,1650,1600,1600,1650
310,College Station,TX,College Station-Bryan,Brazos County,311,,,,,,,,,,,,,,,1350,1550,1400,1400,1395,1295,1250,1072.5,1100,1095,1150,1250,1295,1295,1250,1275,1295,1200,1197.5,1196,1100,1100,1200,1285,1295,1195,1200,1200,1200,1200,1295,1300,1350,1365,1495,1395,1395,1395,1395,1395,1400,1397.5,1495,1495,1500,1500,1500,1412.5,1395,1500,1500,1512.5,1495,1450,1450,1500,1650,1695,1600,1470,1470,1495,1495,1575,1500,1500,1450,1512.5,1650,1600,1595,1560,1500,1500,1500,1500,1450,1395,1395,1437.5,1500,1550,1550,1595,1500,1500,1495,1400,1350,1295,1350,1450,1525,1595,1585,1500,1500,1460,1450,1400,1395,1375,1450,1585,1599.5,1599.5
316,Lewisville,TX,Dallas-Fort Worth-Arlington,Denton County,317,,,,,,,,,,,,,,1495,1450,1425,1450,1422.5,1350,1300,1295,1287.5,1250,1350,1350,1395,1400,1225,1400,1425,1350,1350,1400,1412.5,1365,1350,1250,1300,1300,1300,1365,1550,1475,1391,1400,1500,1525,1525,1475,1512.5,1550,1550,1600,1600,1600,1600,1599,1595,1650,1665,1650,1662.5,1650,1650,1650,1625,1682.5,1650,1600,1600,1650,1659,1695,1695,1695,1700,1697.5,1695,1650,1697.5,1650,1650,1725,1650,1712.5,1750,1800,1800,1795,1800,1750.5,1795,1795,1750,1700,1700,1700,1797,1800,1850,1800,1850,1850,1815,1800,1800,1812.5,1795,1795,1845,1825,1800,1850,1900,1900,1850,1890,1900,1900,1900
340,Richardson,TX,Dallas-Fort Worth-Arlington,Dallas County,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1350,1500,1500,1500,1535,1535,1530,1500,1500,1585,1595,1695,1695,1695,1600,1697,1650,1695,1697,1700,1700,1750,1695,1700,1725,1700,1695,1692.5,1695,1650,1650,1800,1695,1650,1795,1700,1750,1695,1650,1695,1800,1762.5,1750,1750,1850,1850,1895,1900,1850,1850,1850,1795,1850,1849,1850,1850,1895,1875,1897,1895,1850,1850,1850,1895,1825,1800,1850,1850,1900,1900,1950,1950,1950,1900,1897.5,1950,1950
354,Wichita Falls,TX,Wichita Falls,Wichita County,355,,,,,,,,,,,,,,,,,,,,,,850,947.5,900,897.5,922.5,960,950,872.5,895,900,900,895,850,850,800,797.5,812.5,875,895,947.5,1075,1050,900,900,962.5,897.5,850,850,850,850,875,950,900,950,937.5,950,950,950,912.5,897.5,875,900,825,900,950,885,850,900,850,825,850,862.5,895,900,850,866,900,890,995,850,885,975,900,937.5,900,899,900,937.5,950,950,900,895,900,900,900,875,850,895,895,900,900,875,900,885,900,895,850,875,900,900,950,900,850,850,900,900,900,850,847.5
366,The Woodlands,TX,Houston-The Woodlands-Sugar Land,Montgomery County,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,2100,2100,2100,2025,2150,2200,2000,2050,2000,2000,2090,2100,2097.5,2100,2200,2150,2100,2000,2000,2000,1995,2000,2050,2050,2072.5,2100,2100,1995,2100,2097.5,1925,2050,2000,1950,1879,1950,1990,1975,1995,1950,1950,1950,1950,2000,2000,1975,2000,2100,2100,2100,2100,2000,1925,1900,1900,1900,1900,1950,1950,2099,2165,2100,2000,2000,2000,1992.5,2075,2000
