,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
1353,Weatherford,TX,Dallas-Fort Worth-Arlington,Parker County,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1450,1450,1475,1495,1495,1300,1395,1450,1595,1575,1595,1497.5,1450,1400,1497.5,1475
1425,University Park,TX,Dallas-Fort Worth-Arlington,Dallas County,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3900,3740,3720,3400,3400,3400,3350,3350,3350,3450,3450,3225,3400,3450,3772.5,3625,3800,3900,4425,4312.5,4275,4000,3950,3900,4100,4200,3800,4200,3600,4197.5,3850,3975,4000,3700,3600,3750,3950,3850,3900,3787.5,3800,3800,3900,3800,3900,3500,3950,3800,3800,3750,3850,3700,3300,3475,3600,3600,3550,3500,3650,3800,3950,3825,3900,3625,3500,3500,3600,3650
1431,Saginaw,TX,Dallas-Fort Worth-Arlington,Tarrant County,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.5,1422.5,1495,1495,1500,1495,1495,1550,1550,1547.5,1537.5,1550,1495,1542.5,1550,1550,1550,1590,1595,1595,1550,1550,1575,1562.5,1550,1595,1599.5,1595,1650,1600,1630,1595,1565,1595,1585,1575
1445,Watauga,TX,Dallas-Fort Worth-Arlington,Tarrant County,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.5,1300,1350,1300,1300,1300,1392.5,1362.5,1375,1400,1400,1395,1400,1400,1397.5,1385,1395,1395,1397.5,1412.5,1425,1395,1400,1400,1430,1450,1495,1445,1400,1450,1450,1480,1495,1500,1475,1495,1525,1500,1495,1475,1520,1524.5
1457,Alvin,TX,Houston-The Woodlands-Sugar Land,Brazoria County,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1250,1325,1150,1200,1075,1225,1250,1150,1150,1150,1150
1459,Benbrook,TX,Dallas-Fort Worth-Arlington,Tarrant County,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1495,1495,1450,1375,1400,1400,1400,1395,1395,1372.5,1425,1400,1425,1450,1495,1495,1495,1522.5,1437.5,1400,1397.5,1450,1450,1495,1497.5,1495,1425,1572.5,1600,1600,1500,1500,1562,1600
1468,Manor,TX,Austin-Round Rock,Travis County,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1525,1525,1500,1450,1512.5,1500,1500,1512.5,1525,1512.5,1500,1585,1592.5,1600,1650,1685,1635,1595,1550,1595,1550,1595,1622.5,1600,1572.5,1595,1600,1625,1580
1470,Royse City,TX,Dallas-Fort Worth-Arlington,Rockwall County,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1595,1550,1612.5,1650,1650,1695,1600,1625,1600,1595,1595,1650,1650,1595,1647,1650,1612.5,1600,1650,1625,1680,1695,1625,1599
1499,Nederland,TX,Beaumont-Port Arthur,Jefferson County,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1295,1262.5,1225,1250,1247.5,1185,1195,1225,1400,1395,1362.5,1350,1300,1350,1350,1200,1350,1275
1503,Sachse,TX,Dallas-Fort Worth-Arlington,Dallas County,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1797.5,1795,1795,1750,1625,1660,1697.5,1650,1724.5,1795,1725,1660,1682.5,1682.5,1670,1750,1745,1684.5,1700,1800,1795,1747.5,1845,1750,1795,1860,1797,1759,1762.5,1775,1787.5
1507,Universal City,TX,San Antonio-New Braunfels,Bexar County,1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1300,1395,1395,1350,1395,1362.5,1287.5,1250,1350,1350,1350,1375,1395,1395,1395,1300,1300,1325,1350,1300,1350,1350,1450,1450,1397,1425,1300,1347.5,1320,1475,1450,1435,1395
1509,Fresno,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460,1550,1562.5,1595,1595,1595,1575,1535,1550,1590,1595,1595,1597.5,1550,1550,1650,1650,1650,1622.5,1600,1600,1647,1595,1585,1600,1595,1550,1599,1622.5,1650,1692,1600,1595,1600,1597.5,1595,1597.5
1517,Forney,TX,Dallas-Fort Worth-Arlington,Kaufman County,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,1650,1676,1695,1695,1695,1677.5,1650,1675,1670,1695,1725,1725,1757.5,1765,1750,1802,1759.5,1762.5,1780,1795,1750,1750,1750,1797.5,1750,1770,1798,1837.5,1850,1795,1795,1795,1775,1749,1725
