,Real,Predicted
2017-04-30,99182.0,96204.77
2017-05-31,99644.0,96879.336
2017-06-30,100124.0,97677.945
2017-07-31,100992.0,98409.87
2017-08-31,102033.0,99074.65
2017-09-30,103303.0,99576.836
2017-10-31,104270.0,99925.99
2017-11-30,105285.00000000001,100248.22
2017-12-31,106236.00000000001,100627.9
2018-01-31,107090.0,101080.28
2018-02-28,107166.0,101535.016
2018-03-31,107129.0,101955.805
2018-04-30,107842.0,102291.266
2018-05-31,109080.00000000001,102582.9
2018-06-30,110111.0,102809.13
2018-07-31,110690.99999999999,102961.85
2018-08-31,111418.0,103044.125
2018-09-30,112360.0,103188.47
2018-10-31,112773.00000000001,103442.73
2018-11-30,113512.00000000001,103711.84
2018-12-31,113973.0,103917.21
2019-01-31,115362.00000000001,104075.63
2019-02-28,116549.99999999999,104243.695
2019-03-31,118144.99999999999,104404.39
2019-04-30,118932.0,104530.914
2019-05-31,119625.00000000001,104690.21
2019-06-30,120236.00000000001,104861.22
2019-07-31,121175.99999999999,105089.56
2019-08-31,121916.00000000001,105286.9
2019-09-30,122386.0,105465.97
2019-10-31,123370.0,105574.375
2019-11-30,124026.0,105672.92
2019-12-31,124762.0,105770.45
2020-01-31,124743.00000000001,105876.59
2020-02-29,125185.00000000001,105961.89
