,Real,Predicted
2017-06-30,100124.0,97701.5
2017-07-31,100992.0,98536.04
2017-08-31,102033.0,99368.61
2017-09-30,103303.0,100230.44
2017-10-31,104270.0,101174.74
2017-11-30,105285.00000000001,102168.63
2017-12-31,106236.00000000001,103221.3
2018-01-31,107090.0,104241.85
2018-02-28,107166.0,105237.44
2018-03-31,107129.0,106157.07
2018-04-30,107842.0,107000.7
2018-05-31,109080.00000000001,107833.83
2018-06-30,110111.0,108694.766
2018-07-31,110690.99999999999,109580.875
2018-08-31,111418.0,110438.13
2018-09-30,112360.0,111244.13
2018-10-31,112773.00000000001,111971.19
2018-11-30,113512.00000000001,112657.99
2018-12-31,113973.0,113300.1
2019-01-31,115362.00000000001,113904.7
2019-02-28,116549.99999999999,114489.79
2019-03-31,118144.99999999999,115157.79
2019-04-30,118932.0,115932.01
2019-05-31,119625.00000000001,116721.24
2019-06-30,120236.00000000001,117462.15
2019-07-31,121175.99999999999,118178.3
2019-08-31,121916.00000000001,118923.85
2019-09-30,122386.0,119679.11
2019-10-31,123370.0,120413.414
2019-11-30,124026.0,121186.7
2019-12-31,124762.0,121956.6
2020-01-31,124743.00000000001,122751.72
2020-02-29,125185.00000000001,123461.01
