,Real,Predicted
2017-03-31,105316.00000000001,92631.38
2017-04-30,106637.0,92665.39
2017-05-31,107517.0,92703.44
2017-06-30,109482.0,92728.8
2017-07-31,112107.99999999999,92785.39
2017-08-31,114470.0,92860.695
2017-09-30,116478.0,92927.805
2017-10-31,117414.0,92984.195
2017-11-30,117458.0,93010.22
2017-12-31,117840.0,93011.445
2018-01-31,119289.99999999999,93022.016
2018-02-28,119671.0,93061.83
2018-03-31,119820.0,93072.21
2018-04-30,118353.0,93076.26
2018-05-31,118948.0,93036.16
2018-06-30,118693.0,93052.48
2018-07-31,118391.0,93045.49
2018-08-31,118818.0,93037.195
2018-09-30,118896.0,93048.914
2018-10-31,119759.0,93051.055
2018-11-30,119619.0,93074.6
2018-12-31,119376.0,93070.8
2019-01-31,118117.0,93064.18
2019-02-28,117268.0,93029.65
2019-03-31,118069.0,93006.18
2019-04-30,119831.0,93028.33
2019-05-31,120453.0,93076.555
2019-06-30,119695.0,93093.4
2019-07-31,119361.0,93072.86
2019-08-31,118662.0,93063.766
2019-09-30,118400.0,93044.64
2019-10-31,117918.0,93037.44
2019-11-30,118546.0,93024.164
2019-12-31,119103.0,93041.45
2020-01-31,119949.0,93056.72
2020-02-29,120664.0,93079.766
