,Real,Predicted Rent
2017-12,1590.0,1595.699
2018-01,1550.0,1597.0455
2018-02,1550.0,1598.6454
2018-03,1550.0,1600.5754
2018-04,1595.0,1602.5789
2018-05,1600.0,1604.8232
2018-06,1650.0,1607.0059
2018-07,1650.0,1609.6345
2018-08,1650.0,1612.786
2018-09,1600.0,1615.8557
2018-10,1600.0,1618.586
2018-11,1595.0,1621.3545
2018-12,1600.0,1624.4908
2019-01,1586.0,1627.7185
2019-02,1595.0,1630.523
2019-03,1595.0,1633.3447
2019-04,1600.0,1636.4707
2019-05,1600.0,1639.9476
2019-06,1650.0,1642.2646
2019-07,1647.0,1643.151
2019-08,1624.9999999999998,1643.3759
2019-09,1624.9999999999998,1644.2802
2019-10,1600.0,1646.0071
2019-11,1599.0,1647.9053
2019-12,1595.0,1649.7378
