,Real,Predicted
2017-03-31,265392.0,254571.27
2017-04-30,266331.0,255308.12
2017-05-31,266794.0,255865.12
2017-06-30,267225.0,256139.23
2017-07-31,267601.0,256394.11
2017-08-31,267833.0,256616.22
2017-09-30,268643.0,256753.1
2017-10-31,269411.0,257230.38
2017-11-30,270957.0,257681.77
2017-12-31,272068.0,258586.92
2018-01-31,273568.0,259234.31
2018-02-28,274989.0,260104.02
2018-03-31,276667.0,260923.02
2018-04-30,278610.0,261883.6
2018-05-31,280872.0,262986.53
2018-06-30,283077.0,264257.12
2018-07-31,285134.0,265481.03
2018-08-31,287015.0,266609.12
2018-09-30,288260.0,267628.6
2018-10-31,289521.0,268296.9
2018-11-30,290864.0,268968.3
2018-12-31,293037.0,269677.38
2019-01-31,294752.0,270811.06
2019-02-28,296115.0,271693.78
2019-03-31,296874.0,272387.62
2019-04-30,298298.0,272771.0
2019-05-31,299836.0,273484.53
2019-06-30,301561.0,274246.6
2019-07-31,302792.0,275090.7
2019-08-31,304133.0,275686.1
2019-09-30,305553.0,276328.16
2019-10-31,306685.0,277000.47
2019-11-30,307172.0,277530.84
2019-12-31,306885.0,277757.53
2020-01-31,306488.0,277624.06
2020-02-29,306173.0,277438.9
