,Real,Predicted
2017-03-31,217201.0,187287.92
2017-04-30,217956.0,187740.45
2017-05-31,218165.0,187981.0
2017-06-30,218425.0,188047.48
2017-07-31,220110.0,188130.14
2017-08-31,220922.0,188664.16
2017-09-30,222374.0,188920.47
2017-10-31,223485.0,189377.02
2017-11-30,226285.0,189724.75
2017-12-31,229404.0,190594.7
2018-01-31,231932.0,191552.31
2018-02-28,233583.0,192319.02
2018-03-31,233755.0,192814.98
2018-04-30,234408.0,192866.44
2018-05-31,236186.0,193061.39
2018-06-30,237959.00000000003,193589.03
2018-07-31,239021.0,194110.58
2018-08-31,238302.00000000003,194420.7
2018-09-30,237906.00000000003,194210.92
2018-10-31,238002.0,194095.05
2018-11-30,239041.00000000003,194123.17
2018-12-31,239212.0,194426.53
2019-01-31,240173.0,194476.3
2019-02-28,240304.99999999997,194755.19
2019-03-31,241551.0,194793.38
2019-04-30,242511.0,195152.61
2019-05-31,243820.00000000003,195427.72
2019-06-30,244882.0,195800.55
2019-07-31,245550.0,196101.0
2019-08-31,247770.0,196289.08
2019-09-30,249520.0,196908.97
2019-10-31,251164.0,197392.0
2019-11-30,251328.00000000003,197841.23
2019-12-31,251835.0,197885.8
2020-01-31,252042.99999999997,198023.31
2020-02-29,253308.0,198079.58
