,Real,Predicted
2017-03-31,318694.0,294645.3
2017-04-30,321197.0,295791.88
2017-05-31,323806.0,297172.4
2017-06-30,325962.0,298586.25
2017-07-31,327367.0,299734.6
2017-08-31,327914.0,300473.03
2017-09-30,328345.0,300758.38
2017-10-31,329842.0,300982.38
2017-11-30,331446.0,301754.5
2017-12-31,332701.0,302571.62
2018-01-31,333778.0,303203.6
2018-02-28,335545.0,303740.72
2018-03-31,337359.0,304611.6
2018-04-30,338249.0,305492.06
2018-05-31,337952.0,305919.03
2018-06-30,337938.0,305776.94
2018-07-31,337947.0,305770.22
2018-08-31,338889.0,305774.53
2018-09-30,340104.0,306224.03
2018-10-31,340142.0,306798.34
2018-11-30,339994.0,306816.22
2018-12-31,339350.0,306746.6
2019-01-31,340253.0,306442.66
2019-02-28,340930.0,306868.34
2019-03-31,341227.0,307185.25
2019-04-30,341164.0,307323.7
2019-05-31,341326.0,307294.38
2019-06-30,341387.0,307369.72
2019-07-31,342077.0,307398.06
2019-08-31,342217.0,307717.8
2019-09-30,342252.0,307782.44
2019-10-31,342601.0,307798.6
2019-11-30,343097.0,307959.28
2019-12-31,343978.0,308186.78
2020-01-31,343843.0,308588.4
2020-02-29,343588.0,308527.06
