,Real,Predicted
2017-06-30,133499.0,128740.39
2017-07-31,133957.0,128880.57
2017-08-31,134356.0,129047.68
2017-09-30,134385.0,129233.14
2017-10-31,134362.0,129424.21
2017-11-30,134310.0,129609.83
2017-12-31,133671.0,129786.734
2018-01-31,132734.0,129941.03
2018-02-28,132141.0,130055.93
2018-03-31,131571.0,130123.516
2018-04-30,131082.0,130138.266
2018-05-31,130249.0,130103.586
2018-06-30,129572.0,130020.64
2018-07-31,129327.00000000001,129897.836
2018-08-31,129290.0,129744.76
2018-09-30,129693.0,129572.09
2018-10-31,130909.0,129401.22
2018-11-30,132458.0,129254.87
2018-12-31,134067.0,129152.48
2019-01-31,134920.0,129116.52
2019-02-28,135151.0,129151.88
2019-03-31,135315.0,129247.55
2019-04-30,135799.0,129392.5
2019-05-31,136764.0,129576.06
2019-06-30,137924.0,129799.06
2019-07-31,138605.0,130059.77
2019-08-31,139082.0,130344.49
2019-09-30,139276.0,130636.414
2019-10-31,138797.0,130913.15
2019-11-30,138137.0,131152.25
2019-12-31,137682.0,131345.4
2020-01-31,137900.0,131493.06
2020-02-29,138394.0,131610.19
