,Real,Predicted
2017-03-31,220010.0,213060.88
2017-04-30,220442.99999999997,213622.39
2017-05-31,221278.0,213885.78
2017-06-30,221685.0,214181.0
2017-07-31,221985.00000000003,214579.64
2017-08-31,222092.0,215053.72
2017-09-30,222181.0,215302.1
2017-10-31,222476.0,215461.08
2017-11-30,222853.0,215544.38
2017-12-31,223174.00000000003,215667.53
2018-01-31,223367.0,215892.84
2018-02-28,223859.0,216133.03
2018-03-31,224291.0,216339.42
2018-04-30,224835.99999999997,216547.17
2018-05-31,225774.0,216874.77
2018-06-30,226676.0,217219.02
2018-07-31,227410.0,217681.42
2018-08-31,227836.0,218282.77
2018-09-30,228669.0,218812.17
2018-10-31,229649.0,219230.94
2018-11-30,230337.0,219604.22
2018-12-31,230931.0,220144.44
2019-01-31,231544.0,220676.98
2019-02-28,232839.0,221074.5
2019-03-31,233783.0,221466.25
2019-04-30,234013.0,221957.97
2019-05-31,233563.0,222603.39
2019-06-30,233451.99999999997,222966.17
2019-07-31,233793.0,222972.56
2019-08-31,234391.0,222805.28
2019-09-30,234813.0,222845.69
2019-10-31,235069.0,223083.72
2019-11-30,235603.99999999997,223377.28
2019-12-31,236122.00000000003,223590.86
2020-01-31,236717.0,223786.61
2020-02-29,236815.0,224079.48
