,Real,Predicted
2017-04-30,268947.0,266130.6
2017-05-31,270406.0,267414.66
2017-06-30,272737.0,268296.56
2017-07-31,274970.0,268693.0
2017-08-31,276968.0,268847.2
2017-09-30,278408.0,269238.22
2017-10-31,277671.0,269989.0
2017-11-30,276510.0,270964.88
2017-12-31,274999.0,271874.88
2018-01-31,276041.0,272501.4
2018-02-28,277414.0,272809.38
2018-03-31,279132.0,272789.84
2018-04-30,280203.0,272523.2
2018-05-31,280970.0,272395.47
2018-06-30,282002.0,272555.6
2018-07-31,283388.0,273105.62
2018-08-31,284153.0,273658.0
2018-09-30,284639.0,274151.9
2018-10-31,284696.0,274529.9
2018-11-30,284585.0,274872.3
2018-12-31,284592.0,275205.53
2019-01-31,284770.0,275473.38
2019-02-28,285839.0,275607.72
2019-03-31,286584.0,275673.84
2019-04-30,287228.0,275704.12
2019-05-31,288029.0,275763.44
2019-06-30,288023.0,275893.4
2019-07-31,287779.0,276091.44
2019-08-31,287894.0,276335.6
2019-09-30,288324.0,276511.4
2019-10-31,289853.0,276641.34
2019-11-30,291474.0,276731.4
2019-12-31,293036.0,276768.28
2020-01-31,293396.0,276862.94
2020-02-29,293304.0,277067.7
