,Real,Predicted
2017-03-31,325149.0,319212.6
2017-04-30,323725.0,318748.34
2017-05-31,324102.0,317923.56
2017-06-30,324412.0,318142.2
2017-07-31,325009.0,318321.84
2017-08-31,324452.0,318667.34
2017-09-30,323030.0,318344.97
2017-10-31,323461.0,317520.16
2017-11-30,325313.0,317770.4
2017-12-31,327610.0,318843.1
2018-01-31,329225.0,320165.12
2018-02-28,330800.0,321086.8
2018-03-31,332638.0,321977.9
2018-04-30,335368.0,323006.44
2018-05-31,337628.00000000006,324508.06
2018-06-30,340128.0,325724.56
2018-07-31,341876.0,327039.2
2018-08-31,343478.0,327937.7
2018-09-30,344209.0,328745.47
2018-10-31,344231.0,329108.97
2018-11-30,344789.0,329119.88
2018-12-31,345680.0,329395.12
2019-01-31,346350.0,329830.6
2019-02-28,347076.0,330154.88
2019-03-31,347356.0,330503.1
2019-04-30,348017.0,330636.5
2019-05-31,347731.0,330949.5
2019-06-30,347113.0,330814.4
2019-07-31,347104.0,330520.72
2019-08-31,347921.0,330516.44
2019-09-30,349448.0,330904.22
2019-10-31,350765.0,331617.66
2019-11-30,351378.0,332221.12
2019-12-31,351769.0,332498.22
2020-01-31,352644.0,332673.72
2020-02-29,353534.0,333062.97
