,Real,Predicted
2017-06-30,132694.0,133886.31
2017-07-31,133341.0,134653.94
2017-08-31,133881.0,135407.17
2017-09-30,134177.0,136138.1
2017-10-31,134628.0,136888.5
2017-11-30,135063.0,137641.14
2017-12-31,135905.0,138385.14
2018-01-31,136804.0,139069.81
2018-02-28,138116.0,139705.89
2018-03-31,139193.0,140373.3
2018-04-30,140318.0,141058.58
2018-05-31,141482.0,141754.22
2018-06-30,142804.0,142440.97
2018-07-31,143914.0,143160.97
2018-08-31,144903.0,143930.98
2018-09-30,145884.0,144759.44
2018-10-31,146917.0,145662.81
2018-11-30,147761.0,146619.05
2018-12-31,148519.0,147619.86
2019-01-31,149218.0,148618.9
2019-02-28,150340.0,149602.61
2019-03-31,151387.0,150533.9
2019-04-30,151906.0,151435.33
2019-05-31,152016.0,152299.27
2019-06-30,152161.0,153113.06
2019-07-31,152755.0,153853.72
2019-08-31,153490.0,154535.1
2019-09-30,154477.0,155167.39
2019-10-31,155339.0,155756.73
2019-11-30,156365.0,156305.34
2019-12-31,157161.0,156836.17
2020-01-31,158018.0,157361.45
2020-02-29,158518.0,157890.2
