,Real,Predicted Rent
2017-06,1150.0,1068.1768
2017-07,1118.5,1070.2712
2017-08,1104.0,1072.6124
2017-09,1100.0,1074.2567
2017-10,1099.0,1075.0275
2017-11,1086.0,1075.7766
2017-12,1099.0,1076.8734
2018-01,1128.0,1078.4425
2018-02,1130.0,1079.8293
2018-03,1168.0,1081.2684
2018-04,1185.0,1082.6141
2018-05,1199.0,1083.9575
2018-06,1205.0,1085.064
2018-07,1205.0,1085.809
2018-08,1202.0,1086.5087
2018-09,1210.0,1087.8422
2018-10,1220.0,1090.1566
2018-11,1225.0,1092.471
2018-12,1228.0,1094.411
2019-01,1225.0,1095.3829
2019-02,1275.0,1096.7307
2019-03,1325.0,1097.6593
2019-04,1278.0,1099.705
2019-05,1319.0,1101.8767
2019-06,1350.0,1104.1979
2019-07,1350.0,1105.0825
2019-08,1349.0,1105.7383
2019-09,1350.0,1106.2386
2019-10,1350.0,1106.9935
2019-11,1345.0,1107.739
2019-12,1345.0,1108.5756
