,Real,Predicted
2017-03-31,112100.99999999999,113122.35
2017-04-30,112207.0,113962.37
2017-05-31,113747.00000000001,114032.59
2017-06-30,115250.0,114148.12
2017-07-31,116299.00000000001,114662.96
2017-08-31,116994.00000000001,115851.734
2017-09-30,116922.0,116869.4
2017-10-31,117303.0,117525.67
2017-11-30,118188.00000000001,117865.4
2017-12-31,119815.0,117961.914
2018-01-31,121669.0,118418.484
2018-02-28,123658.0,119264.15
2018-03-31,125834.0,120471.54
2018-04-30,127699.0,121767.09
2018-05-31,128948.0,123086.68
2018-06-30,130498.00000000001,124349.836
2018-07-31,131946.0,125353.734
2018-08-31,133629.0,126132.58
2018-09-30,135412.0,126993.055
2018-10-31,135902.0,127825.77
2018-11-30,137320.0,128687.625
2018-12-31,138155.0,129410.984
2019-01-31,140689.0,129786.7
2019-02-28,142674.0,130433.18
2019-03-31,144425.0,131066.37
2019-04-30,145383.0,132133.83
2019-05-31,145899.0,132947.36
2019-06-30,146409.0,133571.5
2019-07-31,147353.0,133909.45
2019-08-31,148070.0,134126.9
2019-09-30,149061.0,134378.95
2019-10-31,150697.0,134729.2
2019-11-30,151290.0,135050.86
2019-12-31,151741.0,135479.34
2020-01-31,150601.0,135967.06
2020-02-29,150111.0,136138.42
