,Real,Predicted Rent
2018-03,1308.0,1235.6163
2018-04,1315.0,1235.8287
2018-05,1315.0,1236.1099
2018-06,1300.0,1236.7307
2018-07,1300.0,1237.4205
2018-08,1290.0,1237.7709
2018-09,1292.0,1238.1046
2018-10,1277.0,1238.343
2018-11,1272.0,1239.0627
2018-12,1279.0000000000002,1239.2744
2019-01,1265.0,1239.7052
2019-02,1249.9999999999998,1239.9528
2019-03,1249.9999999999998,1240.6091
2019-04,1265.0,1241.1106
2019-05,1270.0000000000002,1241.2687
2019-06,1268.9999999999998,1241.219
2019-07,1286.0,1241.219
2019-08,1275.0,1241.4535
2019-09,1275.0,1241.6693
2019-10,1270.0000000000002,1242.012
2019-11,1264.0,1242.1261
2019-12,1245.0,1242.5822
