,Real,Predicted Rent
2017-04,1695.0,1777.0461
2017-05,1800.0,1778.4583
2017-06,1800.0,1780.033
2017-07,1795.0,1782.1571
2017-08,1799.0,1784.714
2017-09,1795.0,1786.049
2017-10,1800.0,1786.9067
2017-11,1725.0,1787.3525
2017-12,1700.0,1788.0054
2018-01,1700.0,1789.2101
2018-02,1700.0,1790.4989
2018-03,1695.0,1791.6074
2018-04,1750.0,1792.713
2018-05,1800.0,1794.4705
2018-06,1800.0,1796.3132
2018-07,1825.0,1798.7858
2018-08,1850.0,1802.0159
2018-09,1850.0,1804.8627
2018-10,1800.0,1807.1202
2018-11,1775.0,1809.1246
2018-12,1750.0,1812.0319
2019-01,1750.0,1814.9056
2019-02,1795.0,1817.0521
2019-03,1795.0,1819.1755
2019-04,1776.0,1821.8335
2019-05,1850.0,1825.3248
2019-06,1880.0,1827.281
2019-07,1875.0,1827.3141
2019-08,1894.9999999999998,1826.4154
2019-09,1889.9999999999998,1826.6414
2019-10,1899.9999999999998,1827.9338
2019-11,1800.0,1829.526
2019-12,1800.0,1830.6904
