,Real,Predicted
2017-03-31,388874.0,380114.84
2017-04-30,389089.0,380039.7
2017-05-31,389863.0,380163.97
2017-06-30,390187.0,380609.1
2017-07-31,390170.0,380794.34
2017-08-31,390019.0,380784.66
2017-09-30,389909.0,380698.38
2017-10-31,390238.0,380635.44
2017-11-30,390638.0,380823.47
2017-12-31,390638.0,381051.2
2018-01-31,390197.0,381051.2
2018-02-28,390078.0,380800.06
2018-03-31,390002.0,380732.1
2018-04-30,390167.0,380688.66
2018-05-31,390993.0,380782.94
2018-06-30,391840.0,381252.56
2018-07-31,392429.0,381729.9
2018-08-31,392915.0,382059.34
2018-09-30,393711.0,382329.62
2018-10-31,394732.0,382769.28
2018-11-30,395248.0,383327.72
2018-12-31,396213.0,383607.62
2019-01-31,397360.0,384126.88
2019-02-28,399400.0,384736.94
2019-03-31,400688.0,385802.97
2019-04-30,400815.0,386463.7
2019-05-31,399976.0,386528.3
2019-06-30,399517.0,386099.66
2019-07-31,399859.0,385863.4
2019-08-31,400303.0,386039.53
2019-09-30,400679.0,386267.2
2019-10-31,400727.0,386459.06
2019-11-30,401211.0,386483.53
2019-12-31,401360.0,386729.22
2020-01-31,401643.0,386804.56
2020-02-29,401345.0,386947.4
