,Real,Predicted Rent
2017-05,1695.0,1529.0365
2017-06,1700.0,1529.3314
2017-07,1695.0,1529.2897
2017-08,1700.0,1529.6759
2017-09,1695.0,1530.4279
2017-10,1695.0,1531.3638
2017-11,1649.9999999999998,1532.3638
2017-12,1625.0,1533.4116
2018-01,1600.0,1534.4569
2018-02,1600.0,1534.6193
2018-03,1645.0,1534.3527
2018-04,1649.9999999999998,1534.141
2018-05,1649.9999999999998,1535.0946
2018-06,1649.9999999999998,1536.1555
2018-07,1695.0,1537.3027
2018-08,1695.0,1538.1151
2018-09,1649.9999999999998,1538.9526
2018-10,1649.9999999999998,1539.6309
2018-11,1649.9999999999998,1539.7915
2018-12,1695.0,1540.2329
2019-01,1689.0,1540.3599
2019-02,1695.0,1541.6516
2019-03,1695.0,1542.5294
2019-04,1679.9999999999998,1543.8734
2019-05,1700.0,1544.0648
2019-06,1730.0,1544.6143
2019-07,1745.0,1544.8893
2019-08,1749.9999999999998,1545.4417
2019-09,1695.0,1545.8995
2019-10,1695.0,1546.3499
2019-11,1695.0,1547.0728
2019-12,1649.9999999999998,1547.5565
