,Real,Predicted Rent
2017-03,1700.0,1717.1995
2017-04,1695.0,1718.1631
2017-05,1800.0,1719.431
2017-06,1800.0,1721.8632
2017-07,1795.0,1723.0421
2017-08,1799.0,1723.9084
2017-09,1795.0,1724.2168
2017-10,1800.0,1724.4731
2017-11,1725.0,1725.3213
2017-12,1700.0,1726.4019
2018-01,1700.0,1727.3188
2018-02,1700.0,1727.869
2018-03,1695.0,1729.2667
2018-04,1750.0,1730.4888
2018-05,1800.0,1732.0232
2018-06,1800.0,1734.6453
2018-07,1825.0,1737.1438
2018-08,1850.0,1739.1604
2018-09,1850.0,1740.3239
2018-10,1800.0,1742.5841
2018-11,1775.0,1745.218
2018-12,1750.0,1747.0508
2019-01,1750.0,1748.6221
2019-02,1795.0,1750.233
2019-03,1795.0,1753.6005
2019-04,1776.0,1756.0245
2019-05,1850.0,1756.6112
2019-06,1880.0,1755.4618
2019-07,1875.0,1755.1775
2019-08,1894.9999999999998,1756.05
2019-09,1889.9999999999998,1757.5719
2019-10,1899.9999999999998,1758.6396
2019-11,1800.0,1759.2848
2019-12,1800.0,1760.6268
