Date,Real,Predicted
2017-03-31,153841.00000000003,150528.52
2017-04-30,154429.0,151039.3
2017-05-31,155364.0,151332.95
2017-06-30,155990.0,151661.89
2017-07-31,156524.0,152077.03
2017-08-31,156855.0,152565.44
2017-09-30,157085.0,152903.38
2017-10-31,157437.0,153166.28
2017-11-30,157841.0,153338.55
2017-12-31,158408.0,153491.86
2018-01-31,158927.0,153702.05
2018-02-28,159648.00000000003,153951.12
2018-03-31,160235.0,154254.75
2018-04-30,160882.0,154560.66
2018-05-31,161813.0,154914.98
2018-06-30,162823.0,155232.53
2018-07-31,163679.0,155603.55
2018-08-31,164434.0,156065.61
2018-09-30,165336.0,156519.22
2018-10-31,166423.0,156904.0
2018-11-30,167327.0,157269.73
2018-12-31,168170.0,157687.75
2019-01-31,168976.0,158127.95
2019-02-28,170247.0,158496.38
2019-03-31,171291.0,158843.72
2019-04-30,171802.0,159213.94
2019-05-31,171767.0,159668.66
2019-06-30,171866.0,159992.84
2019-07-31,172367.0,160125.12
2019-08-31,172991.0,160133.14
2019-09-30,173649.0,160214.1
2019-10-31,174131.0,160408.98
2019-11-30,174780.0,160632.3
2019-12-31,175298.0,160847.97
2020-01-31,175883.0,161028.98
2020-02-29,176138.0,161238.22
