,Real,Predicted Rent
2017-07,1801.5,1586.5399
2017-08,1820.9999999999998,1587.6075
2017-09,1844.9999999999998,1588.5883
2017-10,1794.9999999999998,1588.4072
2017-11,1752.9999999999998,1588.6753
2017-12,1786.0,1589.6973
2018-01,1798.9999999999998,1592.1532
2018-02,1779.5,1594.9578
2018-03,1850.0,1597.5774
2018-04,1798.9999999999998,1600.271
2018-05,1810.0,1602.5872
2018-06,1850.0,1604.5674
2018-07,1850.0,1606.9398
2018-08,1850.0,1609.5018
2018-09,1884.9999999999998,1611.9694
2018-10,1828.0,1614.7191
2018-11,1864.9999999999998,1615.8838
2018-12,1844.9999999999998,1618.2152
2019-01,1826.0,1619.6399
2019-02,1810.0,1622.3286
2019-03,1824.9999999999998,1624.0432
2019-04,1830.0,1625.6782
2019-05,1850.0,1627.0034
2019-06,1850.0,1628.0679
2019-07,1810.0,1628.8505
2019-08,1816.0,1629.7739
2019-09,1789.5,1630.4752
2019-10,1758.9999999999998,1631.571
2019-11,1730.9999999999998,1633.4681
2019-12,1702.5000000000002,1633.9541
