,Real,Predicted Rent
2017-07,1450.0,1358.1525
2017-08,1430.0,1359.5403
2017-09,1399.0,1360.9185
2017-10,1375.0,1362.3104
2017-11,1375.0,1363.6411
2017-12,1399.0,1364.8284
2018-01,1400.0000000000002,1365.8186
2018-02,1400.0000000000002,1366.6917
2018-03,1415.0,1367.5908
2018-04,1460.0,1368.4958
2018-05,1488.9999999999998,1369.3647
2018-06,1497.0,1370.1055
2018-07,1475.0,1370.7721
2018-08,1478.9999999999998,1371.4359
2018-09,1475.0,1372.1868
2018-10,1478.9999999999998,1373.0371
2018-11,1495.0,1373.9174
2018-12,1500.0,1374.7898
2019-01,1490.4999999999998,1375.6324
2019-02,1500.0,1376.4646
2019-03,1575.0000000000002,1377.302
2019-04,1579.0,1378.1632
2019-05,1599.0,1379.0624
2019-06,1629.0,1380.0281
2019-07,1643.9999999999998,1380.9993
2019-08,1635.0,1381.875
2019-09,1625.0,1382.6305
2019-10,1610.0,1383.2399
2019-11,1600.0,1383.8405
2019-12,1600.0,1384.396
