,Real,Predicted
2017-04-30,113086.0,111707.43
2017-05-31,113029.0,111692.43
2017-06-30,113343.0,111734.74
2017-07-31,113671.0,111762.78
2017-08-31,114287.0,111798.1
2017-09-30,114555.0,111827.445
2017-10-31,114455.0,111883.23
2017-11-30,114582.0,111990.81
2017-12-31,114603.0,112173.8
2018-01-31,115146.00000000001,112350.7
2018-02-28,115717.0,112509.21
2018-03-31,116734.0,112574.88
2018-04-30,117768.99999999999,112621.914
2018-05-31,118904.99999999999,112754.83
2018-06-30,119920.99999999999,112961.65
2018-07-31,121039.0,113300.99
2018-08-31,122365.0,113693.61
2018-09-30,123379.00000000001,114152.55
2018-10-31,124198.0,114601.88
2018-11-30,124564.00000000001,115041.48
2018-12-31,125135.0,115452.05
2019-01-31,125361.0,115849.66
2019-02-28,125797.0,116205.91
2019-03-31,126359.0,116465.19
2019-04-30,127505.0,116653.76
2019-05-31,128564.00000000001,116786.72
2019-06-30,129460.00000000001,116932.94
2019-07-31,129972.00000000001,117069.586
2019-08-31,130346.0,117264.2
2019-09-30,131103.0,117504.73
2019-10-31,132167.0,117783.32
2019-11-30,133406.0,118013.69
2019-12-31,134408.0,118194.55
2020-01-31,135386.0,118340.11
2020-02-29,136127.0,118507.23
