,Real,Predicted Rent
2018-06,1300.0,1244.0311
2018-07,1300.0,1244.1174
2018-08,1290.0,1244.2072
2018-09,1292.0,1244.3116
2018-10,1277.0,1244.4231
2018-11,1272.0,1244.5662
2018-12,1278.9999999999998,1244.7427
2019-01,1265.0,1244.9445
2019-02,1250.0,1245.1455
2019-03,1250.0,1245.3342
2019-04,1265.0,1245.541
2019-05,1270.0,1245.7635
2019-06,1269.0,1245.9652
2019-07,1286.0,1246.1344
2019-08,1274.9999999999998,1246.3022
2019-09,1274.9999999999998,1246.4692
2019-10,1270.0,1246.6447
2019-11,1264.0,1246.7765
2019-12,1245.0,1246.9137
