,Real,Predicted Rent
2017-06,1700.0,1597.1099
2017-07,1695.0,1599.836
2017-08,1700.0,1600.615
2017-09,1695.0,1601.2124
2017-10,1695.0,1603.29
2017-11,1649.9999999999998,1606.43
2017-12,1625.0,1610.0472
2018-01,1600.0,1613.8179
2018-02,1600.0,1617.3853
2018-03,1645.0,1619.8534
2018-04,1649.9999999999998,1619.8776
2018-05,1649.9999999999998,1619.3258
2018-06,1649.9999999999998,1620.1619
2018-07,1695.0,1623.7367
2018-08,1695.0,1627.4941
2018-09,1649.9999999999998,1631.0605
2018-10,1649.9999999999998,1633.8375
2018-11,1649.9999999999998,1636.3533
2018-12,1695.0,1638.0804
2019-01,1689.0,1638.8782
2019-02,1695.0,1640.2603
2019-03,1695.0,1641.9526
2019-04,1679.9999999999998,1645.7954
2019-05,1700.0,1648.877
2019-06,1730.0,1651.9396
2019-07,1745.0,1652.8718
2019-08,1749.9999999999998,1654.3503
2019-09,1695.0,1655.4801
2019-10,1695.0,1657.0802
2019-11,1695.0,1658.5287
2019-12,1649.9999999999998,1660.1277
