,Real,Predicted
2017-03-31,318694.0,313702.44
2017-04-30,321197.0,314821.25
2017-05-31,323806.0,315971.78
2017-06-30,325962.0,317475.34
2017-07-31,327367.0,319116.28
2017-08-31,327914.0,320628.66
2017-09-30,328345.0,321749.25
2017-10-31,329842.0,322406.44
2017-11-30,331446.0,322768.2
2017-12-31,332701.0,323276.56
2018-01-31,333778.0,324173.44
2018-02-28,335545.0,325026.38
2018-03-31,337359.0,325743.03
2018-04-30,338249.0,326500.06
2018-05-31,337952.0,327451.34
2018-06-30,337938.0,328206.0
2018-07-31,337947.0,328464.47
2018-08-31,338889.0,328360.97
2018-09-30,340104.0,328398.0
2018-10-31,340142.0,328598.38
2018-11-30,339994.0,329105.66
2018-12-31,339350.0,329514.4
2019-01-31,340253.0,329478.2
2019-02-28,340930.0,329368.53
2019-03-31,341227.0,329316.38
2019-04-30,341164.0,329733.1
2019-05-31,341326.0,330000.34
2019-06-30,341387.0,330096.12
2019-07-31,342077.0,330101.72
2019-08-31,342217.0,330192.16
2019-09-30,342252.0,330319.62
2019-10-31,342601.0,330568.84
2019-11-30,343097.0,330633.75
2019-12-31,343978.0,330715.62
2020-01-31,343843.0,330936.06
2020-02-29,343588.0,331218.94
