,Real,Predicted Rent
2017-05,1095.0,1005.8025
2017-06,1150.0,1007.7819
2017-07,1127.0,1009.00104
2017-08,1109.5,1010.0072
2017-09,1100.0,1011.3082
2017-10,1105.0,1013.1731
2017-11,1099.0,1015.2692
2017-12,1075.0,1017.4141
2018-01,1080.0,1019.23724
2018-02,1100.0,1021.03204
2018-03,1179.5,1022.51105
2018-04,1170.0,1023.40894
2018-05,1149.5,1023.6262
2018-06,1179.0,1024.2753
2018-07,1187.0,1025.9178
2018-08,1200.0,1027.846
2018-09,1210.0,1029.3329
2018-10,1191.0,1030.4952
2018-11,1183.0,1031.7924
2018-12,1200.0,1033.0679
2019-01,1190.0,1033.9473
2019-02,1200.0,1035.1708
2019-03,1219.0,1036.5625
2019-04,1225.0,1038.7637
2019-05,1230.0,1040.7893
2019-06,1265.0,1042.7278
2019-07,1269.0,1043.8689
2019-08,1255.0,1044.9384
2019-09,1235.0,1046.0443
2019-10,1245.0,1047.2753
2019-11,1234.0,1048.2915
2019-12,1227.0,1049.2477
