,Real,Predicted
2017-03-31,105316.00000000001,100910.75
2017-04-30,106637.0,101167.33
2017-05-31,107517.0,101774.75
2017-06-30,109482.0,102441.664
2017-07-31,112107.99999999999,103098.99
2017-08-31,114470.0,103763.484
2017-09-30,116478.0,104762.07
2017-10-31,117414.0,105788.31
2017-11-30,117458.0,106584.484
2017-12-31,117840.0,107121.39
2018-01-31,119289.99999999999,107333.04
2018-02-28,119671.0,107399.45
2018-03-31,119820.0,107601.375
2018-04-30,118353.0,107921.66
2018-05-31,118948.0,107984.2
2018-06-30,118693.0,107912.74
2018-07-31,118391.0,107662.836
2018-08-31,118818.0,107757.664
2018-09-30,118896.0,107689.86
2018-10-31,119759.0,107663.66
2018-11-30,119619.0,107769.195
2018-12-31,119376.0,107847.99
2019-01-31,118117.0,108002.0
2019-02-28,117268.0,107937.56
2019-03-31,118069.0,107779.875
2019-04-30,119831.0,107468.8
2019-05-31,120453.0,107387.68
2019-06-30,119695.0,107701.945
2019-07-31,119361.0,108080.95
2019-08-31,118662.0,108139.69
2019-09-30,118400.0,107959.695
2019-10-31,117918.0,107837.47
2019-11-30,118546.0,107669.48
2019-12-31,119103.0,107588.29
2020-01-31,119949.0,107549.125
2020-02-29,120664.0,107733.8
