,Real,Predicted
2017-06-30,427692.0,421480.97
2017-07-31,428785.99999999994,422132.6
2017-08-31,428962.0,422759.75
2017-09-30,429025.99999999994,423356.7
2017-10-31,429813.0,423963.8
2017-11-30,431434.99999999994,424553.28
2017-12-31,433542.99999999994,425097.97
2018-01-31,435233.0,425553.5
2018-02-28,436769.0,425976.28
2018-03-31,437626.0,426445.06
2018-04-30,438474.0,426937.7
2018-05-31,438534.0,427406.75
2018-06-30,439374.00000000006,427805.0
2018-07-31,441074.0,428161.03
2018-08-31,443126.0,428511.47
2018-09-30,445641.0,428901.25
2018-10-31,446476.0,429336.78
2018-11-30,448437.00000000006,429785.5
2018-12-31,448859.00000000006,430209.53
2019-01-31,450626.99999999994,430591.03
2019-02-28,452262.00000000006,430948.38
2019-03-31,455400.0,431292.38
2019-04-30,456662.0,431655.16
2019-05-31,457863.99999999994,432041.8
2019-06-30,458271.0,432479.72
2019-07-31,459697.0,432933.6
2019-08-31,461365.0,433366.25
2019-09-30,463076.0,433765.7
2019-10-31,465893.00000000006,434117.8
2019-11-30,467583.0,434484.88
2019-12-31,470270.00000000006,434831.06
2020-01-31,472528.00000000006,435208.9
2020-02-29,475533.0,435574.9
