,Real,Predicted
06-17,75538.0,75808.04
07-17,76046.0,76521.625
08-17,76924.0,77219.21
09-17,77797.0,77876.81
10-17,78617.0,78519.234
11-17,79161.0,79185.16
12-17,79829.0,79897.81
01-18,80269.0,80608.93
02-18,80409.0,81313.984
03-18,80456.0,81986.02
04-18,81041.0,82631.4
05-18,81948.99999999999,83261.766
06-18,82545.0,83899.46
07-18,83022.0,84527.2
08-18,83497.0,85144.12
09-18,84360.0,85714.85
10-18,84602.0,86248.484
11-18,85160.0,86750.19
12-18,85282.0,87250.03
01-19,86360.0,87730.79
02-19,87147.0,88221.11
03-19,88381.0,88751.05
04-19,88914.0,89337.336
05-19,89485.0,89928.87
06-19,90030.00000000001,90497.53
07-19,90716.99999999999,91071.22
08-19,91135.0,91658.99
09-19,91256.0,92255.54
10-19,91958.0,92817.52
11-19,92577.0,93397.95
12-19,93383.0,93964.58
01-20,93500.0,94555.016
02-20,93963.0,95082.37
