,Real,Predicted
2017-03-31,130046.99999999999,129891.92
2017-04-30,130821.0,130578.695
2017-05-31,131921.0,130959.68
2017-06-30,132694.0,131536.34
2017-07-31,133341.0,132259.97
2017-08-31,133881.0,133049.19
2017-09-30,134177.0,133623.75
2017-10-31,134628.0,134087.8
2017-11-30,135063.0,134448.19
2017-12-31,135905.0,134719.64
2018-01-31,136804.0,135083.56
2018-02-28,138116.0,135526.11
2018-03-31,139193.0,136186.53
2018-04-30,140318.0,136929.4
2018-05-31,141482.0,137793.61
2018-06-30,142804.0,138540.61
2018-07-31,143914.0,139301.34
2018-08-31,144903.0,140074.58
2018-09-30,145884.0,140847.48
2018-10-31,146917.0,141493.34
2018-11-30,147761.0,142075.78
2018-12-31,148519.0,142641.69
2019-01-31,149218.0,143181.83
2019-02-28,150340.0,143626.05
2019-03-31,151387.0,144035.36
2019-04-30,151906.0,144471.22
2019-05-31,152016.0,145017.39
2019-06-30,152161.0,145444.86
2019-07-31,152755.0,145637.38
2019-08-31,153490.0,145709.06
2019-09-30,154477.0,145852.23
2019-10-31,155339.0,146164.92
2019-11-30,156365.0,146544.23
2019-12-31,157161.0,146984.16
2020-01-31,158018.0,147388.1
2020-02-29,158518.0,147808.5
