,Real,Predicted Rent
2017-05,1095.0,965.2708
2017-06,1150.0,965.5194
2017-07,1127.0,965.7779
2017-08,1109.5,966.24634
2017-09,1100.0,966.8089
2017-10,1105.0,967.4962
2017-11,1099.0,968.01996
2017-12,1075.0,968.5699
2018-01,1080.0,969.08514
2018-02,1100.0,969.54755
2018-03,1179.5,969.5887
2018-04,1170.0,969.56866
2018-05,1149.5,969.9544
2018-06,1179.0,970.6234
2018-07,1187.0,971.1794
2018-08,1200.0,971.4916
2018-09,1210.0,971.88226
2018-10,1191.0,972.3875
2018-11,1183.0,972.60846
2018-12,1200.0,973.0032
2019-01,1190.0,973.24884
2019-02,1200.0,973.9865
2019-03,1219.0,974.6139
2019-04,1225.0,975.45087
2019-05,1230.0,975.8612
2019-06,1265.0,976.22107
2019-07,1269.0,976.5372
2019-08,1255.0,977.02124
2019-09,1235.0,977.4003
2019-10,1245.0,977.64014
2019-11,1234.0,978.1398
2019-12,1227.0,978.47095
