,Real,Predicted
2017-06-30,227357.0,226200.95
2017-07-31,228593.0,227090.28
2017-08-31,229463.0,228057.14
2017-09-30,230130.0,229066.25
2017-10-31,230505.0,230076.47
2017-11-30,231111.0,231055.81
2017-12-31,231675.0,232020.22
2018-01-31,232971.0,232949.5
2018-02-28,234263.0,233846.8
2018-03-31,235515.0,234687.25
2018-04-30,235990.0,235492.6
2018-05-31,236487.0,236279.16
2018-06-30,237118.0,237043.84
2018-07-31,238158.0,237772.39
2018-08-31,239062.0,238457.42
2018-09-30,239568.0,239133.17
2018-10-31,239504.0,239814.6
2018-11-30,239535.0,240514.7
2018-12-31,239538.0,241199.89
2019-01-31,239708.0,241858.16
2019-02-28,239592.0,242419.42
2019-03-31,239876.0,242878.6
2019-04-30,240813.0,243240.19
2019-05-31,241663.0,243573.66
2019-06-30,242356.0,243884.48
2019-07-31,242470.0,244169.52
2019-08-31,242728.0,244401.55
2019-09-30,243203.0,244597.12
2019-10-31,244080.0,244792.5
2019-11-30,244699.0,245036.38
2019-12-31,245233.0,245322.36
2020-01-31,245169.0,245652.56
2020-02-29,245160.0,246008.66
