,Real,Predicted
06-17,427692.0,428428.56
07-17,428785.99999999994,429804.53
08-17,428962.0,431161.84
09-17,429025.99999999994,432483.94
10-17,429813.0,433843.03
11-17,431434.99999999994,435181.88
12-17,433542.99999999994,436445.28
01-18,435233.0,437542.3
02-18,436769.0,438586.2
03-18,437626.0,439747.12
04-18,438474.0,440984.8
05-18,438534.0,442202.53
06-18,439374.00000000006,443288.16
07-18,441074.0,444295.9
08-18,443126.0,445300.5
09-18,445641.0,446403.4
10-18,446476.0,447631.03
11-18,448437.00000000006,448912.78
12-18,448859.00000000006,450174.88
01-19,450626.99999999994,451366.8
02-19,452262.00000000006,452537.78
03-19,455400.0,453706.84
04-19,456662.0,454962.2
05-19,457863.99999999994,456307.84
06-19,458271.0,457818.3
07-19,459697.0,459395.28
08-19,461365.0,460940.03
09-19,463076.0,462414.78
10-19,465893.00000000006,463775.5
11-19,467583.0,465206.12
12-19,470270.00000000006,466601.72
01-20,472528.00000000006,468132.56
02-20,475533.0,469676.7
