,Real,Predicted
2017-03-31,395680.00000000006,389402.66
2017-04-30,397533.0,391640.56
2017-05-31,399756.0,393516.97
2017-06-30,401945.0,395440.7
2017-07-31,403763.0,397447.78
2017-08-31,404830.0,399614.44
2017-09-30,405185.0,401559.88
2017-10-31,406882.0,402974.06
2017-11-30,409085.0,403897.62
2017-12-31,411761.0,404908.78
2018-01-31,414161.0,406906.03
2018-02-28,417425.99999999994,409317.06
2018-03-31,421368.00000000006,412022.88
2018-04-30,424825.99999999994,414942.4
2018-05-31,427062.00000000006,418533.97
2018-06-30,428692.0,422224.84
2018-07-31,430600.99999999994,425172.0
2018-08-31,432795.0,427249.03
2018-09-30,436401.99999999994,429103.22
2018-10-31,436921.0,431393.84
2018-11-30,438382.99999999994,433942.34
2018-12-31,438352.0,436420.94
2019-01-31,441034.00000000006,437209.6
2019-02-28,442517.0,438396.66
2019-03-31,443875.0,439457.0
2019-04-30,444559.0,441709.12
2019-05-31,445069.99999999994,443127.94
2019-06-30,445645.0,444226.84
2019-07-31,446808.0,444876.34
2019-08-31,447707.0,445518.3
2019-09-30,448033.0,446362.84
2019-10-31,449841.99999999994,447397.6
2019-11-30,450618.0,448269.38
2019-12-31,451915.00000000006,449168.84
2020-01-31,451293.0,450672.06
2020-02-29,451239.0,451494.06
