,Real,Predicted
2017-03-31,320410.0,315978.12
2017-04-30,321931.0,316667.56
2017-05-31,324149.0,317934.16
2017-06-30,325848.0,319766.6
2017-07-31,326990.0,321158.12
2017-08-31,327373.0,322087.34
2017-09-30,327817.0,322397.88
2017-10-31,328761.99999999994,322757.12
2017-11-30,330383.0,323519.22
2017-12-31,332387.0,324818.2
2018-01-31,334180.0,326409.34
2018-02-28,335699.99999999994,327818.8
2018-03-31,336536.0,329003.03
2018-04-30,337279.0,329650.16
2018-05-31,337495.0,330222.7
2018-06-30,338477.0,330388.7
2018-07-31,340133.0,331140.78
2018-08-31,342144.99999999994,332399.47
2018-09-30,344514.0,333912.2
2018-10-31,345476.0,335669.8
2018-11-30,346976.0,336376.25
2018-12-31,347104.0,337469.2
2019-01-31,348193.00000000006,337561.94
2019-02-28,349302.0,338348.25
2019-03-31,351658.0,339143.3
2019-04-30,352779.0,340813.28
2019-05-31,353900.99999999994,341598.75
2019-06-30,354351.0,342378.94
2019-07-31,355452.0,342690.16
2019-08-31,356683.0,343447.66
2019-09-30,357867.0,344287.8
2019-10-31,359985.0,345089.12
2019-11-30,361420.0,346506.03
2019-12-31,363716.99999999994,347453.97
2020-01-31,365693.99999999994,348951.12
2020-02-29,368196.0,350219.78
