,Real,Predicted
2017-03-31,220010.0,212640.34
2017-04-30,220442.99999999997,212858.38
2017-05-31,221278.0,213144.8
2017-06-30,221685.0,213692.7
2017-07-31,221985.00000000003,213957.58
2017-08-31,222092.0,214151.92
2017-09-30,222181.0,214221.03
2017-10-31,222476.0,214278.45
2017-11-30,222853.0,214468.27
2017-12-31,223174.00000000003,214709.77
2018-01-31,223367.0,214914.4
2018-02-28,223859.0,215036.97
2018-03-31,224291.0,215348.0
2018-04-30,224835.99999999997,215619.3
2018-05-31,225774.0,215959.2
2018-06-30,226676.0,216537.9
2018-07-31,227410.0,217086.89
2018-08-31,227836.0,217528.11
2018-09-30,228669.0,217781.92
2018-10-31,229649.0,218273.44
2018-11-30,230337.0,218843.52
2018-12-31,230931.0,219238.44
2019-01-31,231544.0,219575.88
2019-02-28,232839.0,219920.7
2019-03-31,233783.0,220637.83
2019-04-30,234013.0,221150.88
2019-05-31,233563.0,221274.62
2019-06-30,233451.99999999997,221032.05
2019-07-31,233793.0,220971.92
2019-08-31,234391.0,221156.25
2019-09-30,234813.0,221476.98
2019-10-31,235069.0,221701.36
2019-11-30,235603.99999999997,221836.69
2019-12-31,236122.00000000003,222117.56
2020-01-31,236717.0,222387.03
2020-02-29,236815.0,222693.6
