,Real,Predicted
2017-04-30,102497.0,98488.43
2017-05-31,103882.0,99497.055
2017-06-30,105288.0,100423.78
2017-07-31,106640.0,101201.78
2017-08-31,107756.0,101913.195
2017-09-30,108093.0,102606.33
2017-10-31,108400.0,103302.23
2017-11-30,108824.0,104018.086
2017-12-31,110093.0,104639.195
2018-01-31,111688.0,105134.33
2018-02-28,113662.0,105486.86
2018-03-31,115603.0,105735.97
2018-04-30,117255.0,106076.84
2018-05-31,118321.0,106570.37
2018-06-30,119430.0,107242.47
2018-07-31,120586.0,107950.695
2018-08-31,121314.0,108637.086
2018-09-30,122510.0,109216.83
2018-10-31,121983.0,109671.95
2018-11-30,121634.0,110018.52
2018-12-31,120769.0,110332.625
2019-01-31,121825.0,110584.34
2019-02-28,123232.0,110740.63
2019-03-31,124713.0,110832.93
2019-04-30,125438.99999999999,110747.61
2019-05-31,126060.0,110738.33
2019-06-30,126448.0,110830.63
2019-07-31,127201.0,111173.02
2019-08-31,128243.0,111515.16
2019-09-30,129296.0,111793.75
2019-10-31,131491.0,111971.91
2019-11-30,133499.0,112143.945
2019-12-31,135324.0,112333.8
2020-01-31,135456.0,112597.305
2020-02-29,135102.0,112910.13
