Date,Real,Predicted
2017-03-31,105714.0,102153.18
2017-04-30,106440.0,102517.31
2017-05-31,107245.99999999999,102796.3
2017-06-30,107789.0,103323.734
2017-07-31,107627.0,103862.62
2017-08-31,107498.0,104313.15
2017-09-30,106436.0,104494.64
2017-10-31,106131.0,104315.914
2017-11-30,105924.0,103996.68
2017-12-31,106839.00000000001,103455.945
2018-01-31,107570.0,103350.38
2018-02-28,108003.0,103532.1
2018-03-31,107619.0,104121.54
2018-04-30,107192.99999999999,104496.05
2018-05-31,107196.0,104558.984
2018-06-30,108030.0,104302.89
2018-07-31,109281.00000000001,104188.56
2018-08-31,110841.99999999999,104471.5
2018-09-30,112031.0,105203.055
2018-10-31,112946.00000000001,106115.94
2018-11-30,113352.0,107022.695
2018-12-31,114497.0,107674.33
2019-01-31,116048.0,108157.76
2019-02-28,118153.00000000001,108601.39
2019-03-31,119773.0,109387.77
2019-04-30,121104.00000000001,110334.91
2019-05-31,122335.00000000001,111317.19
2019-06-30,122951.99999999999,112053.29
2019-07-31,123526.00000000001,112633.21
2019-08-31,123791.99999999999,113083.766
2019-09-30,124861.0,113335.7
2019-10-31,125668.99999999999,113563.85
2019-11-30,126817.0,113789.99
2019-12-31,126739.00000000001,114201.72
2020-01-31,126353.0,114530.375
2020-02-29,125649.00000000001,114795.086
