,Real,Predicted
06-17,155990.0,155285.89
07-17,156524.0,155927.67
08-17,156855.0,156569.11
09-17,157085.0,157174.77
10-17,157437.0,157783.19
11-17,157841.0,158390.2
12-17,158408.0,159008.22
01-18,158927.0,159569.36
02-18,159648.00000000003,160069.44
03-18,160235.0,160568.83
04-18,160882.0,161067.92
05-18,161813.0,161557.06
06-18,162823.0,162005.12
07-18,163679.0,162455.6
08-18,164434.0,162926.19
09-18,165336.0,163444.2
10-18,166423.0,164024.53
11-18,167327.0,164658.22
12-18,168170.0,165342.44
01-19,168976.0,166060.64
02-19,170247.0,166817.56
03-19,171291.0,167593.94
04-19,171802.0,168406.52
05-19,171767.0,169245.7
06-19,171866.0,170070.61
07-19,172367.0,170860.52
08-19,172991.0,171622.55
09-19,173649.0,172360.84
10-19,174131.0,173055.89
11-19,174780.0,173685.1
12-19,175298.0,174267.52
01-20,175883.0,174810.11
02-20,176138.0,175319.02
