,Real,Predicted Rent
2017-08,1109.5,1064.3989
2017-09,1100.0,1067.3767
2017-10,1105.0,1070.4333
2017-11,1099.0,1073.4797
2017-12,1075.0,1076.5219
2018-01,1080.0,1079.3516
2018-02,1100.0,1081.9952
2018-03,1179.5,1084.3674
2018-04,1170.0,1086.4829
2018-05,1149.5,1088.4664
2018-06,1179.0,1090.3896
2018-07,1187.0,1092.2612
2018-08,1200.0,1094.0017
2018-09,1210.0,1095.5809
2018-10,1191.0,1096.9662
2018-11,1183.0,1098.2455
2018-12,1200.0,1099.4087
2019-01,1190.0,1100.4791
2019-02,1200.0,1101.4735
2019-03,1219.0,1102.5521
2019-04,1225.0,1103.727
2019-05,1230.0,1104.8826
2019-06,1265.0,1105.9369
2019-07,1269.0,1106.9293
2019-08,1255.0,1107.9166
2019-09,1235.0,1108.8743
2019-10,1245.0,1109.7761
2019-11,1234.0,1110.6794
2019-12,1227.0,1111.5432
