Date,Real,Predicted
2017-06-30,132441.0,
2017-07-31,131994.0,
2017-08-31,132226.0,
2017-09-30,133175.0,
2017-10-31,134441.0,
2017-11-30,136151.0,
2017-12-31,137720.0,
2018-01-31,137952.0,
2018-02-28,136607.0,
2018-03-31,133907.0,
2018-04-30,133380.0,
2018-05-31,133371.0,
2018-06-30,134739.0,
2018-07-31,136134.0,
2018-08-31,137802.0,
2018-09-30,139590.0,
2018-10-31,140629.0,
2018-11-30,140843.0,
2018-12-31,140888.0,
2019-01-31,143188.0,
2019-02-28,146995.0,
2019-03-31,151175.0,
2019-04-30,153482.0,
2019-05-31,154655.0,
2019-06-30,155553.0,
2019-07-31,156578.0,
2019-08-31,157223.0,
2019-09-30,157596.0,
2019-10-31,158328.0,
2019-11-30,159420.0,
2019-12-31,160409.0,
2020-01-31,160070.0,
2020-02-29,158822.0,
