,Real,Predicted
04-17,140903.0,138970.56
05-17,142342.0,140720.36
06-17,143446.0,142214.88
07-17,144331.0,143304.47
08-17,145144.0,144048.77
09-17,144994.0,144936.47
10-17,145216.0,145912.34
11-17,146063.0,146999.69
12-17,148098.0,147810.42
01-18,150422.0,148475.75
02-18,152594.0,149142.94
03-18,154829.0,149937.25
04-18,156753.0,151320.62
05-18,158400.0,153278.11
06-18,160376.0,155650.12
07-18,162514.0,158030.94
08-18,164578.0,160305.83
09-18,166884.0,162516.67
10-18,167863.0,164644.67
11-18,169827.0,166771.16
12-18,171030.0,168987.47
01-19,173307.0,171145.25
02-19,174764.0,173174.19
03-19,176157.0,175072.23
04-19,177289.0,176726.2
05-19,178200.0,178583.14
06-19,178871.0,180267.3
07-19,179664.0,181992.98
08-19,180267.0,183321.84
09-19,181211.0,184475.88
10-19,182850.0,185443.11
11-19,183271.0,186320.28
12-19,183421.0,187179.17
01-20,182480.0,188085.77
02-20,182494.0,188931.39
