,Real,Predicted
2017-06-30,128364.0,126003.06
2017-07-31,128586.0,126107.86
2017-08-31,128783.0,126219.16
2017-09-30,128688.0,126326.26
2017-10-31,128799.0,126421.766
2017-11-30,128896.0,126503.46
2017-12-31,127973.0,126574.23
2018-01-31,127274.0,126625.6
2018-02-28,126860.0,126653.984
2018-03-31,127154.0,126658.64
2018-04-30,127252.0,126648.68
2018-05-31,127102.0,126628.71
2018-06-30,126523.0,126602.87
2018-07-31,126021.0,126565.99
2018-08-31,125603.0,126519.64
2018-09-30,125738.0,126465.54
2018-10-31,126621.0,126411.38
2018-11-30,127948.0,126365.46
2018-12-31,129380.0,126338.305
2019-01-31,130612.0,126344.18
2019-02-28,131000.0,126385.0
2019-03-31,131566.0,126454.91
2019-04-30,132194.0,126545.36
2019-05-31,133513.0,126654.81
2019-06-30,134890.0,126785.945
2019-07-31,136406.0,126940.35
2019-08-31,137740.0,127114.6
2019-09-30,138733.0,127303.234
2019-10-31,139029.0,127496.695
2019-11-30,139074.0,127683.71
2019-12-31,139487.0,127856.03
2020-01-31,139996.0,128011.84
2020-02-29,141049.0,128152.555
