,Real,Predicted
2017-03-31,240631.0,226191.08
2017-04-30,241804.0,227419.27
2017-05-31,243144.0,228214.44
2017-06-30,244285.0,229116.72
2017-07-31,245673.0,229879.69
2017-08-31,247324.0,230801.06
2017-09-30,248240.0,231887.03
2017-10-31,249118.00000000003,232484.73
2017-11-30,250226.0,233054.36
2017-12-31,252203.0,233768.56
2018-01-31,253599.99999999997,235029.8
2018-02-28,254677.0,235910.6
2018-03-31,256080.00000000003,236583.72
2018-04-30,258086.00000000003,237452.67
2018-05-31,260119.0,238679.39
2018-06-30,262173.0,239903.52
2018-07-31,264373.0,241120.45
2018-08-31,265954.0,242401.61
2018-09-30,266113.0,243307.94
2018-10-31,265777.0,243398.42
2018-11-30,266402.0,243207.06
2018-12-31,267709.0,243562.6
2019-01-31,269725.0,244299.9
2019-02-28,271099.0,245421.05
2019-03-31,271928.0,246173.89
2019-04-30,272148.0,246623.69
2019-05-31,272179.0,246742.52
2019-06-30,272752.0,246759.23
2019-07-31,272884.0,247067.52
2019-08-31,273319.0,247138.3
2019-09-30,275204.0,247371.0
2019-10-31,277422.0,248368.78
2019-11-30,278860.0,249520.97
2019-12-31,279338.0,250255.42
2020-01-31,279455.0,250497.38
2020-02-29,280155.0,250556.44
