,Real,Predicted
2017-06-30,185143.0,185939.22
2017-07-31,185866.99999999997,186432.97
2017-08-31,186552.0,186983.17
2017-09-30,187231.0,187608.34
2017-10-31,187607.0,188292.22
2017-11-30,188154.0,188987.92
2017-12-31,188953.00000000003,189694.27
2018-01-31,190071.0,190404.67
2018-02-28,191200.0,191117.22
2018-03-31,192300.0,191826.61
2018-04-30,193529.00000000003,192526.25
2018-05-31,194896.00000000003,193234.84
2018-06-30,196316.0,193972.22
2018-07-31,197421.99999999997,194764.06
2018-08-31,198467.0,195604.25
2018-09-30,199043.0,196501.28
2018-10-31,199733.0,197452.64
2018-11-30,200434.0,198482.97
2018-12-31,201351.0,199561.11
2019-01-31,202116.0,200649.22
2019-02-28,202725.0,201704.7
2019-03-31,203459.0,202719.52
2019-04-30,204799.99999999997,203691.42
2019-05-31,206289.99999999997,204608.44
2019-06-30,207779.0,205464.66
2019-07-31,208900.0,206268.2
2019-08-31,210055.00000000003,207064.05
2019-09-30,211462.0,207867.94
2019-10-31,212721.00000000003,208736.95
2019-11-30,213750.0,209662.62
2019-12-31,214323.0,210643.38
2020-01-31,214714.0,211650.53
2020-02-29,215074.0,212688.52
