,Real,Predicted
2017-06-30,121225.0,117637.66
2017-07-31,121618.0,117784.05
2017-08-31,121954.0,117916.51
2017-09-30,122527.00000000001,118019.75
2017-10-31,123198.99999999999,118135.22
2017-11-30,123866.0,118262.81
2017-12-31,124553.0,118410.38
2018-01-31,125269.0,118529.49
2018-02-28,125769.00000000001,118623.95
2018-03-31,126073.00000000001,118720.4
2018-04-30,126485.0,118825.96
2018-05-31,127443.0,118934.09
2018-06-30,128444.0,119027.81
2018-07-31,129304.99999999999,119117.93
2018-08-31,130125.0,119212.45
2018-09-30,130990.00000000001,119314.98
2018-10-31,131958.0,119415.99
2018-11-30,132684.0,119511.71
2018-12-31,133776.0,119602.72
2019-01-31,134826.0,119688.43
2019-02-28,136410.0,119768.58
2019-03-31,137433.0,119852.39
2019-04-30,138085.0,119949.46
2019-05-31,138302.0,120057.44
2019-06-30,138738.0,120158.54
2019-07-31,139385.0,120251.484
2019-08-31,140043.0,120341.43
2019-09-30,140703.0,120430.35
2019-10-31,141259.0,120517.375
2019-11-30,142048.0,120599.88
2019-12-31,142366.0,120684.91
2020-01-31,142724.0,120762.78
2020-02-29,142883.0,120833.24
