,Real,Predicted Rent
2018-04,1315.0,1247.2534
2018-05,1315.0,1247.4014
2018-06,1300.0,1247.6152
2018-07,1300.0,1247.8907
2018-08,1290.0,1248.1736
2018-09,1292.0,1248.4446
2018-10,1277.0,1248.7683
2018-11,1272.0,1249.1377
2018-12,1278.9999999999998,1249.4626
2019-01,1265.0,1249.7145
2019-02,1250.0,1249.9707
2019-03,1250.0,1250.2411
2019-04,1265.0,1250.5574
2019-05,1270.0,1250.7943
2019-06,1269.0,1251.0669
2019-07,1286.0,1251.3121
2019-08,1274.9999999999998,1251.5658
2019-09,1274.9999999999998,1251.7129
2019-10,1270.0,1251.774
2019-11,1264.0,1251.8275
2019-12,1245.0,1251.9359
