,Real,Predicted
2017-06-30,153022.0,147313.16
2017-07-31,153668.0,147813.38
2017-08-31,154593.0,148294.61
2017-09-30,155696.0,148785.48
2017-10-31,156734.0,149293.52
2017-11-30,157845.0,149798.95
2017-12-31,158890.0,150304.47
2018-01-31,159374.0,150784.58
2018-02-28,159328.0,151230.75
2018-03-31,159294.0,151608.45
2018-04-30,160168.0,151922.77
2018-05-31,161248.0,152204.98
2018-06-30,162397.0,152486.12
2018-07-31,163241.0,152775.62
2018-08-31,164155.0,153058.64
2018-09-30,164997.0,153326.8
2018-10-31,165359.0,153575.69
2018-11-30,165993.0,153806.89
2018-12-31,166371.0,154018.4
2019-01-31,167711.0,154211.55
2019-02-28,168681.0,154408.34
2019-03-31,170093.0,154625.6
2019-04-30,170524.0,154863.81
2019-05-31,171240.0,155092.33
2019-06-30,171678.0,155305.47
2019-07-31,172391.0,155500.38
2019-08-31,172988.0,155685.66
2019-09-30,173547.0,155859.1
2019-10-31,174437.0,156022.31
2019-11-30,175060.0,156188.17
2019-12-31,175790.0,156349.33
2020-01-31,175967.0,156511.95
2020-02-29,176519.0,156652.69
