,Real,Predicted
2017-04-30,106637.0,103884.11
2017-05-31,107517.0,104338.72
2017-06-30,109482.0,104738.54
2017-07-31,112107.99999999999,105220.555
2017-08-31,114470.0,105947.6
2017-09-30,116478.0,106716.62
2017-10-31,117414.0,107490.84
2017-11-30,117458.0,108262.36
2017-12-31,117840.0,109148.09
2018-01-31,119289.99999999999,109933.12
2018-02-28,119671.0,110493.266
2018-03-31,119820.0,110849.99
2018-04-30,118353.0,111013.664
2018-05-31,118948.0,111108.84
2018-06-30,118693.0,111263.82
2018-07-31,118391.0,111439.38
2018-08-31,118818.0,111448.7
2018-09-30,118896.0,111381.21
2018-10-31,119759.0,111243.31
2018-11-30,119619.0,111291.53
2018-12-31,119376.0,111263.31
2019-01-31,118117.0,111274.31
2019-02-28,117268.0,111354.414
2019-03-31,118069.0,111404.37
2019-04-30,119831.0,111457.836
2019-05-31,120453.0,111373.81
2019-06-30,119695.0,111252.8
2019-07-31,119361.0,111107.6
2019-08-31,118662.0,111135.87
2019-09-30,118400.0,111358.47
2019-10-31,117918.0,111559.75
2019-11-30,118546.0,111554.31
2019-12-31,119103.0,111417.664
2020-01-31,119949.0,111319.11
2020-02-29,120664.0,111217.25
